"playerid","name","Bats","dist1b","dist2b","dist3b","distHR","distIBB"
375,"Bartolo Colon","R",NA,NA,NA,NA,0
393,"Victor Martinez","B",0.732285233015162,0.182036792592032,0,0.0808970085929555,0.11895625
404,"CC Sabathia","L",NA,NA,NA,NA,0
629,"Brandon Barnes","R",0.796,0,0,0.205154639175259,0
639,"Adrian Beltre","R",0.682491360868852,0.191271978457152,0.0062225909683537,0.124742594645969,0.0576470588235294
785,"Todd Frazier","R",0.62225516148893,0.240872706248223,0.01253015888101,0.118925898396839,0.010984375
791,"Brandon Phillips","R",0.676616915422884,0,0,0.333333333333333,0
1101,"Ichiro Suzuki","L",0.975609756097561,0,0,0,0
1118,"Marco Estrada","R",NA,NA,NA,NA,0
1157,"Tommy Hunter","R",0.989847715736037,0,0,0,0
1159,"Andrew Romine","B",0.531179162616335,0.438514816196863,0.0136314835709645,0.0272454831383085,0
1177,"Albert Pujols","R",0.622573504635354,0.164725640142199,0,0.208035982307375,0.100200350033015
1433,"Wilson Ramos","R",0.676938022947598,0.164072612509972,0.00240375544335515,0.160158661942472,0.042941797670616
1581,"Sean Doolittle","L",NA,NA,NA,NA,0
1679,"Chase Utley","L",0.674436090225565,0.28718703976436,0.0428571428571429,0.024223602484472,0.111764705882353
1736,"Jose Reyes","B",0.540302664996899,0.30846494522148,0.0724883457130691,0.0910030681304748,0.0435636363636364
1744,"Miguel Cabrera","R",0.739537724469083,0.159261966131983,0,0.101902707526111,0.0654374098124098
1841,"Edwin Jackson","R",NA,NA,NA,NA,0
1857,"Joe Mauer","L",0.763216102632161,0.191367819739765,0.00601292329783415,0.044014598540146,0.102450980392157
1873,"Matt Holliday","R",0.77268292682927,0.122553191489362,0,0.125764192139738,0
1887,"Jose Bautista","R",0.525502892705837,0.294241508429159,0,0.184081010146103,0.0285515827829652
1890,"Matt Moore","L",NA,NA,NA,NA,0
1908,"Adrian Gonzalez","L",0.69628712871287,0.137784090909091,0,0.1515625,0.193
1943,"Zack Greinke","R",0.585743509493972,0.274855713731626,0.0352113903618406,0.108301700658388,0
1994,"Ivan Nova","R",0.980099502487562,0,0,0,0
2036,"Clayton Kershaw","L",0.892438681672404,0.125959113386823,0,0,0
2047,"Jorge De La Rosa","L",NA,NA,NA,NA,0
2136,"David Peralta","L",0.652174787062444,0.215655897361559,0.021748057105132,0.110894939617477,0.056243315214142
2151,"Edwin Encarnacion","R",0.493098410070579,0.179589723314334,0.0030297493986176,0.317251868280996,0.0162853493887977
2233,"Adam Wainwright","R",0.755550848211506,0.225353633516899,0,0,0
2396,"Carlos Santana","B",0.611287698519189,0.190269246918338,0.00454396632256055,0.193120110991536,0.0421365563208092
2429,"Corey Kluber","R",NA,NA,NA,NA,0
2434,"Nelson Cruz","R",0.634335317251174,0.144312525976536,0.00755746390134908,0.214500623322354,0.134262351655103
2495,"Pedro Alvarez","L",0.495049504950495,0.105820105820106,0,0.363636363636363,0
2502,"Lucas Duda","L",0.568985668651541,0.197671766100217,0.00619050627068159,0.241103511792826,0.0806117071334462
2520,"Lance Lynn","B",0.999948450951083,0,0,0,0
2530,"Yonder Alonso","L",0.63923338455483,0.190736704212461,0,0.165084274157584,0.0476808440475563
2539,"Pete Kozma","R",0.788858885888591,0.125891472868217,0.0221132897603486,0.0371794871794872,0
2578,"Peter Bourjos","R",0.642318169618895,0.237727639318929,0.0584490740740743,0.0587550901687029,0
2608,"Jhoulys Chacin","R",0.781784095773733,0.0564191134139319,0,0.156199677938808,0
2616,"Zack Cozart","R",0.711516988994552,0.219095641036272,0.0221279523045173,0.0468901846452866,0
2636,"Brandon Guyer","R",0.54725,0.27226368159204,0,0.179510309278351,0
2717,"Rick Porcello","R",0.338308457711442,0.641509433962264,0,0,0
2802,"Tony Cruz","R",0.520942408376965,0.241504854368932,0,0.213519313304721,0
2829,"Manny Pina","R",0.671880717304641,0.120318451629478,0.00392817059483726,0.201553395988025,0.033139880952381
2859,"Ross Detwiler","R",0.974874371859292,0,0,0,0
2882,"Luis Avilan","L",NA,NA,NA,NA,0
2900,"Roberto Perez","R",0.710300805058984,0.132115016527476,0.00833980129920689,0.145028872082305,0.00366666666666666
2967,"Tommy Pham","R",0.667899207045988,0.180026068406258,0.0220319042244075,0.131327175051509,0.0202749913536804
3086,"Mitch Moreland","L",0.547559670737121,0.207646615373753,0.0183618360680835,0.23018337214126,0.0439108465608466
3096,"Kenley Jansen","B",NA,NA,NA,NA,0
3123,"Gregor Blanco","L",0.72153450177718,0.153356356572416,0.0526725480020759,0.0572395319328917,0
3132,"Tony Watson","L",NA,NA,NA,NA,0
3137,"Max Scherzer","R",0.957211801582167,0.05607476635514,0,0,0
3142,"Robinson Chirinos","R",0.581965359385235,0.242711228795049,0.0156219517210285,0.160516677159248,0.00403921568627451
3174,"ShinSoo Choo","L",0.667534421261192,0.17617155965417,0.00595842083069113,0.153907668057796,0.0487597547380156
3184,"David Price","L",0.914228723404257,0.12972972972973,0,0,0
3201,"Francisco Liriano","L",1,0,0,0,0
3211,"Tyler Ladendorf","R",NA,NA,NA,NA,0
3237,"TJ McFarland","L",NA,NA,NA,NA,0
3254,"Jeff Samardzija","R",0.80121237458194,0.18342644320298,0,0,0
3256,"Welington Castillo","R",0.592012356575464,0.211978905754524,0,0.187572059431356,0
3269,"Robinson Cano","L",0.681484253621944,0.191966353049151,0,0.120746553266984,0.0705545138888888
3284,"Anibal Sanchez","R",0.992873200363515,0,0,0,0
3292,"Hector Noesi","R",0.975845410628019,0,0,0,0
3298,"Charlie Culberson","R",0.600316942986892,0.306228461012607,0.0193971496671982,0.0751510729078881,0.0485037348272642
3312,"Martin Prado","R",0.770565067851251,0.171070935550667,0,0.0329935040404551,0
3353,"Matt Joyce","L",0.639045318063619,0.169344870506992,0,0.187727221752079,0.0557916666666666
3364,"Miguel Montero","L",NA,NA,NA,NA,0.522500000000001
3376,"Nick Hundley","R",0.594176547246576,0.202521008403362,0.0512355594262413,0.15673030108245,0.0461363636363637
3395,"Cliff Pennington","B",1,0,0,0,0
3410,"Ryan Braun","R",0.531578148995392,0.250334306103829,0.0214384829278592,0.199942556048361,0.0564705882352941
3411,"Drew Butera","R",0.628984769371048,0.346177015967549,0,0.0235517264461866,0
3448,"Jeff Mathis","R",0.629689008721267,0.196794453084027,0.0389137927599465,0.13594671880667,0.0303958333333334
3473,"Anthony Rizzo","L",0.637385105604399,0.17623684523187,0.0074616988327778,0.175589000139505,0.0837666055244577
3516,"Eric Hosmer","L",0.693571160942649,0.174234208315343,0.00419436191323686,0.125143192274043,0.0691640329845975
3531,"Troy Tulowitzki","R",0,0.53846153846154,0,0.485148514851486,0
3542,"Danny Duffy","L",0.967741935483871,0,0,0,0
3543,"Clay Buchholz","L",0.495024875621891,0.520942408376965,0,0,0
3551,"Clayton Richard","L",0.49757281553398,0.240610328638498,0,0.268324607329844,0
3648,"Rene Rivera","R",0.773319937061637,0.0987014963546787,0,0.13503856050317,0
3708,"Rajai Davis","R",0.610186815802,0.26445770685107,0.0127042900919306,0.107223016052558,0
3711,"Eric Thames","L",0.549794206536061,0.209415447872171,0.0253212396069539,0.202958107457486,0.103094433175569
3787,"David Wright","R",NA,NA,NA,NA,0
3812,"Gregorio Petit","R",0.858252427184467,0.125345622119815,0,0,0
3840,"Zach Duke","L",NA,NA,NA,NA,0
3878,"Chris Stewart","R",0.975845410628019,0,0,0,0
3882,"Chris Young","R",0.531826949572885,0.108062709966405,0.0570668243642815,0.290225563909774,0
3892,"Josh Reddick","L",0.68885462617728,0.189934076359781,0.0146822239063618,0.101883526585885,0.0219515306122449
3950,"Matt Magill","R",NA,NA,NA,NA,0
4001,"Enny Romero","R",0,0.960975609756097,0,0,0
4020,"Yusmeiro Petit","R",NA,NA,NA,NA,0
4022,"Melky Cabrera","B",0.707022867445371,0.208706447187285,0.00436136447702832,0.0776920931990715,0.0882397058823528
4026,"Hector Santiago","R",NA,NA,NA,NA,0
4054,"Emilio Bonifacio","B",NA,NA,NA,NA,0
4062,"Dexter Fowler","B",0.733599199410282,0.128391822655649,0.0021770932126049,0.134461031997549,0.00336131756756757
4064,"Brian Duensing","L",NA,NA,NA,NA,0
4070,"Pedro Strop","R",NA,NA,NA,NA,0
4106,"Michael Brantley","L",0.695903279585272,0.202421348206733,0.00953390448182069,0.0964373422047483,0.025307055373469
4141,"Derek Holland","B",0.813893392758048,0.156292966275818,0,0,0
4146,"Gorkys Hernandez","R",0.608964415631143,0.149297609606888,0.171181800289122,0.0893174546747243,0.0187962962962963
4153,"Jake Arrieta","R",0.900133805880158,0.0511841100076394,0,0.0513428120063191,0
