"Source","Fangraphs_id","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","BABIP","BaseRunning","wRC+","WAR"
"OOPSY","15640","Aaron Judge","NYY",159,564,686,169,83,28,1,57,111,138,113,8,174,6,4,0,9,2,0.3,0.419,0.658,1.077,0.448,0.16,0.25,0.649,0.358,0.332,-0.6,199,9.5
"OOPSY","25764","Bobby Witt Jr","KCR",159,622,686,190,110,39,8,33,112,106,51,4,111,6,7,0,36,10,0.306,0.361,0.553,0.914,0.386,0.07,0.16,0.458,0.247,0.325,3.8,151,8.1
"ZiPS","15640","Aaron Judge","NYY",145,517,635,146,74,26,0,46,102,124,109,14,165,5,4,0,8,1,0.282,0.409,0.6,1.009,0.421,0.17,0.26,0.661,0.317,0.323,-0.2,180,7.7
"REZ","15640","Aaron Judge","NYY",151,537,659,154,80,26,0,48,107,124,117,9,172,6,4,0,8,2,0.287,0.417,0.607,1.024,0.428,17.6,25.9,0.7,0.32,0.331,-0.6,182,7.6
"Depth Charts","15640","Aaron Judge","NYY",159,559,686,156,80,27,0,49,111,126,116,15,178,6,5,0,8,2,0.278,0.405,0.59,0.995,0.415,0.17,0.26,0.653,0.312,0.317,-0.4,176,7.4
"Steamer","25764","Bobby Witt Jr","KCR",150,616,679,182,107,36,8,31,108,96,50,5,106,7,5,2,36,11,0.296,0.353,0.529,0.882,0.374,0.07,0.16,0.474,0.234,0.313,3.3,142,7.4
"THE BAT","15640","Aaron Judge","NYY",146,519,638,148,73,24,1,50,107,120,107,11,163,6,5,0,6,2,0.286,0.41,0.627,1.037,0.431,0.17,0.26,0.656,0.341,0.315,-0.9,187,7.4
"ZiPS DC","15640","Aaron Judge","NYY",159,559,686,158,80,28,0,50,110,134,118,15,178,5,4,0,9,1,0.282,0.409,0.6,1.009,0.421,0.17,0.26,0.661,0.317,0.323,-0.2,180,7.3
"ATC","15640","Aaron Judge","NYY",146,516,638,146,75,25,1,46,104,115,112,10,163,6,4,0,8,2,0.283,0.413,0.601,1.014,0.424,0.17,0.26,0.684,0.318,0.321,-0.5,178,7.2
"Steamer","15640","Aaron Judge","NYY",150,542,665,149,77,24,1,47,109,115,111,15,172,7,5,1,8,2,0.274,0.401,0.58,0.981,0.41,0.17,0.26,0.646,0.306,0.311,-0.6,172,7.1
"Steamer","26289","Gunnar Henderson","BAL",150,597,684,163,94,30,5,34,107,90,75,1,146,6,4,3,18,5,0.273,0.358,0.513,0.871,0.373,0.11,0.21,0.51,0.24,0.307,1.9,149,7.1
