"name","playerid","new_FIP","FIP","Source","FIP_adj_rate"
"AJ Alexy","22343",5.653015,NA,NA,NA
"AJ Block","sa3014916",4.7997,NA,NA,NA
"AJ Blubaugh","sa3020112",4.34338,NA,NA,NA
"AJ Candelario","sa3018176",5.76426,NA,NA,NA
"AJ Labas","sa3017638",5.46688,NA,NA,NA
"AJ Ladwig","16266",4.78747,NA,NA,NA
"AJ Minter","18655",3.50922117647059,3.76,"REZ1",0.933303504380476
"AJ Puckett","sa738686",4.61654,NA,NA,NA
"AJ Puk","19343",3.0941,2.152,"REZ1",1.43777881040892
"AJ SmithShawver","29960",4.65788117647059,6.59,"REZ1",0.706810497188253
"Aaron Ashby","23550",4.06833647058824,3.776,"REZ1",1.07741961615155
"Aaron Barrett","11243",5.01699,NA,NA,NA
"Aaron Brooks","12272",5.10253333333333,6.034,"REZ1",0.845630317092034
"Aaron Brown","sa3017500",4.798755,NA,NA,NA
"Aaron Brown","sa598306",4.7142,NA,NA,NA
"Aaron Bummer","16258",3.11871647058824,4.074,"REZ1",0.765517052181698
"Aaron Civale","19479",4.45787058823529,4.644,"REZ1",0.959920453969701
"Aaron Cohn","sa3017210",6.48604,NA,NA,NA
"Aaron Davenport","sa3017615",5.326475,NA,NA,NA
"Aaron Fletcher","22052",5.18712,NA,NA,NA
"Aaron Haase","sa3017849",5.23092,NA,NA,NA
"Aaron Hernandez","sa3008599",5.1182,NA,NA,NA
"Aaron Holiday","sa3017937",6.16878,NA,NA,NA
"Aaron Leasher","sa3004701",5.00556,NA,NA,NA
"Aaron Loup","10343",3.94001428571429,3.455,"REZ1",1.14038040107505
"Aaron McGarity","sa873280",4.83033,NA,NA,NA
"Aaron Munson","sa3023257",5.37558,NA,NA,NA
"Aaron Nixon","sa3023376",6.42428,NA,NA,NA
"Aaron Nola","16149",3.62215294117647,3.014,"REZ1",1.201776025606
"Aaron Northcraft","10218",5.42892,NA,NA,NA
"Aaron Ochsenbein","sa3011241",4.98955,NA,NA,NA
"Aaron Perry","sa1055363",4.63258,NA,NA,NA
"Aaron Pinto","sa3006823",4.58037,NA,NA,NA
"Aaron Rozek","sa3015224",4.965515,NA,NA,NA
"Aaron Rund","sa3023369",5.44866,NA,NA,NA
"Aaron Sanchez","11490",5.372705,NA,NA,NA
"Aaron Shortridge","sa3006759",5.216015,NA,NA,NA
"Aaron Slegers","15231",4.58141,NA,NA,NA
"Aaron Wilkerson","16904",4.7492,NA,NA,NA
"Abdiel Medina","sa3009206",7.18044,NA,NA,NA
"Abdiel Mendoza","sa916829",5.18346,NA,NA,NA
"Abel Adames","sa917912",5.93048,NA,NA,NA
"Abel Brito","sa3015458",6.62152,NA,NA,NA
"Abel Fuerte","sa3021475",7.42644,NA,NA,NA
"Abel Mendez","sa3018902",7.63835,NA,NA,NA
"Abel Mercedes","sa3017013",6.27772,NA,NA,NA
"Abner Uribe","25327",3.85752823529412,4.015,"REZ1",0.960779137059556
"Abraham Gaitan","sa3020492",7.71009,NA,NA,NA
"Abraham Parra","sa3022369",7.23045,NA,NA,NA
