"name","playerid","new_L","L","Source","L_adj_rate"
"AJ Alexy","22343",2.02695,NA,NA,NA
"AJ Block","sa3014916",0.0524,NA,NA,NA
"AJ Blubaugh","sa3020112",1.680983,NA,NA,NA
"AJ Candelario","sa3018176",0.0569,NA,NA,NA
"AJ Labas","sa3017638",0.0547,NA,NA,NA
"AJ Ladwig","16266",0.0519,NA,NA,NA
"AJ Minter","18655",2.87952823529412,3.778,"REZ1",0.762183227976209
"AJ Puckett","sa738686",0.0553,NA,NA,NA
"AJ Puk","19343",3.40713882352941,4.383,"REZ1",0.777353142489028
"AJ SmithShawver","29960",3.51819529411765,1.597,"REZ1",2.20300268886515
"Aaron Ashby","23550",4.2247,4.095,"REZ1",1.03167277167277
"Aaron Barrett","11243",0.0541,NA,NA,NA
"Aaron Brooks","12272",2.887,4.655,"REZ1",0.620193340494092
"Aaron Brown","sa3017500",3.0334,NA,NA,NA
"Aaron Brown","sa598306",0.0528,NA,NA,NA
"Aaron Bummer","16258",2.52817294117647,4.087,"REZ1",0.618588926150348
"Aaron Civale","19479",8.45804117647059,8.633,"REZ1",0.979733716723108
"Aaron Cohn","sa3017210",0.0586,NA,NA,NA
"Aaron Davenport","sa3017615",3.0387,NA,NA,NA
"Aaron Fletcher","22052",0.0532,NA,NA,NA
"Aaron Haase","sa3017849",0.0549,NA,NA,NA
"Aaron Hernandez","sa3008599",2.02595,NA,NA,NA
"Aaron Holiday","sa3017937",0.0647,NA,NA,NA
"Aaron Leasher","sa3004701",0.0621,NA,NA,NA
"Aaron Loup","10343",0.499785714285714,1.629,"REZ1",0.306805226694729
"Aaron McGarity","sa873280",3.5254,NA,NA,NA
"Aaron Munson","sa3023257",0.0538,NA,NA,NA
"Aaron Nixon","sa3023376",0.0568,NA,NA,NA
"Aaron Nola","16149",9.34859529411765,7.957,"REZ1",1.17488944251824
"Aaron Northcraft","10218",0.0547,NA,NA,NA
"Aaron Ochsenbein","sa3011241",0.0528,NA,NA,NA
"Aaron Perry","sa1055363",0.0598,NA,NA,NA
"Aaron Pinto","sa3006823",0.0525,NA,NA,NA
"Aaron Rozek","sa3015224",3.53365,NA,NA,NA
"Aaron Rund","sa3023369",0.0547,NA,NA,NA
"Aaron Sanchez","11490",2.53435,NA,NA,NA
"Aaron Shortridge","sa3006759",3.53585,NA,NA,NA
"Aaron Slegers","15231",0.051,NA,NA,NA
"Aaron Wilkerson","16904",0.0654,NA,NA,NA
"Abdiel Medina","sa3009206",0.0608,NA,NA,NA
"Abdiel Mendoza","sa916829",4.53285,NA,NA,NA
"Abel Adames","sa917912",0.0598,NA,NA,NA
"Abel Brito","sa3015458",0.0589,NA,NA,NA
"Abel Fuerte","sa3021475",0.0615,NA,NA,NA
"Abel Mendez","sa3018902",0.0734,NA,NA,NA
"Abel Mercedes","sa3017013",0.0563,NA,NA,NA
"Abner Uribe","25327",2.02755529411765,2.671,"REZ1",0.759099698284406
"Abraham Gaitan","sa3020492",0.085,NA,NA,NA
"Abraham Parra","sa3022369",0.0879,NA,NA,NA
"Abrahan Tejada","sa3019146",0.0611,NA,NA,NA
"Accimias Morales","sa3018809",0.0855,NA,NA,NA
"Adam Boucher","sa3023128",0.0547,NA,NA,NA
"Adam Cimber","15288",1.80436823529412,2.307,"REZ1",0.782127540222851
"Adam Conley","14457",0.047,NA,NA,NA
"Adam Kloffenstein","24493",2.30858333333333,1.231,"REZ1",1.8753723260222
"Adam Kolarek","10843",1.12345833333333,1.615,"REZ1",0.695639834881321
"Adam Laskey","sa3014851",2.0313,NA,NA,NA
"Adam Leverett","sa1169991",3.0379,NA,NA,NA
"Adam Macko","sa3011555",1.28836142857143,NA,NA,NA
"Adam Maier","sa3020883",0.0695,NA,NA,NA
"Adam Mazur","31900",3.87960470588235,4.802,"REZ1",0.807914349413235
"Adam McKillican","sa3017687",0.0561,NA,NA,NA
"Adam Morgan","12580",0.0494,NA,NA,NA
"Adam Oller","20132",3.13808727272727,4.054,"REZ1",0.774071848230704
"Adam Ottavino","1247",1.99870235294118,2.421,"REZ1",0.825568919017421
"Adam Plutko","15846",2.52595,NA,NA,NA
"Adam Scoggins","sa3017845",0.0559,NA,NA,NA
"Adam Scott","sa3006826",0.066,NA,NA,NA
"Adam Seminaris","sa3015010",2.53105,NA,NA,NA
"Adam Serwinowski","sa3020626",0.0807,NA,NA,NA
"Adam Shoemaker","sa3017888",0.0644,NA,NA,NA
"Adam Smith","sa3017147",0.0568,NA,NA,NA
"Adam Stauffer","sa3005146",0.0502,NA,NA,NA
"Adam Stone","sa3020944",0.0574,NA,NA,NA
"Adam Tulloch","sa3020588",0.0547,NA,NA,NA
"Adam Wainwright","2233",1.72221428571429,5.853,"REZ1",0.294244709672695
"Adam Wolf","sa3007587",2.02875,NA,NA,NA
"Adan Moreno","sa3021537",0.0573,NA,NA,NA
"Adbert Alzolay","17859",2.53808333333333,2.617,"REZ1",0.969844605782703
"Adel Dilone","sa3018798",0.0644,NA,NA,NA
