"name","playerid","new_LOB%","LOB%","Source","LOB%_adj_rate"
"AJ Alexy","22343",0.698718,NA,NA,NA
"AJ Block","sa3014916",0.722582,NA,NA,NA
"AJ Blubaugh","sa3020112",0.718541333333333,NA,NA,NA
"AJ Candelario","sa3018176",0.700307,NA,NA,NA
"AJ Labas","sa3017638",0.696085,NA,NA,NA
"AJ Ladwig","16266",0.700441,NA,NA,NA
"AJ Minter","18655",0.743967176470588,0.73,"REZ1",1.01913311845286
"AJ Puckett","sa738686",0.70856,NA,NA,NA
"AJ Puk","19343",0.748074470588235,0.722,"REZ1",1.03611422519146
"AJ SmithShawver","29960",0.711764941176471,0.653,"REZ1",1.08999225295018
"Aaron Ashby","23550",0.717626352941176,0.682,"REZ1",1.05223805416595
"Aaron Barrett","11243",0.70602,NA,NA,NA
"Aaron Brooks","12272",0.68162625,0.649,"REZ1",1.05027157164869
"Aaron Brown","sa3017500",0.7048115,NA,NA,NA
"Aaron Brown","sa598306",0.726293,NA,NA,NA
"Aaron Bummer","16258",0.742119647058824,0.71,"REZ1",1.04523893951947
"Aaron Civale","19479",0.721130588235294,0.735,"REZ1",0.981130052020808
"Aaron Cohn","sa3017210",0.67702,NA,NA,NA
"Aaron Davenport","sa3017615",0.705184,NA,NA,NA
"Aaron Fletcher","22052",0.706463,NA,NA,NA
"Aaron Haase","sa3017849",0.70664,NA,NA,NA
"Aaron Hernandez","sa3008599",0.6919525,NA,NA,NA
"Aaron Holiday","sa3017937",0.693188,NA,NA,NA
"Aaron Leasher","sa3004701",0.719938,NA,NA,NA
"Aaron Loup","10343",0.698650714285714,0.622,"REZ1",1.12323265962333
"Aaron McGarity","sa873280",0.6766895,NA,NA,NA
"Aaron Munson","sa3023257",0.706943,NA,NA,NA
"Aaron Nixon","sa3023376",0.69764,NA,NA,NA
"Aaron Nola","16149",0.727610352941176,0.776,"REZ1",0.937642207398423
"Aaron Northcraft","10218",0.695005,NA,NA,NA
"Aaron Ochsenbein","sa3011241",0.712737,NA,NA,NA
"Aaron Perry","sa1055363",0.70924,NA,NA,NA
"Aaron Pinto","sa3006823",0.719013,NA,NA,NA
"Aaron Rozek","sa3015224",0.697325,NA,NA,NA
"Aaron Rund","sa3023369",0.704872,NA,NA,NA
"Aaron Sanchez","11490",0.6887055,NA,NA,NA
