"name","playerid","new_TBF","TBF","Source","TBF_adj_rate"
"AJ Alexy","22343",129.786,NA,NA,NA
"AJ Block","sa3014916",4.42,NA,NA,NA
"AJ Blubaugh","sa3020112",114.704233333333,NA,NA,NA
"AJ Candelario","sa3018176",4.6,NA,NA,NA
"AJ Labas","sa3017638",4.56,NA,NA,NA
"AJ Ladwig","16266",4.312,NA,NA,NA
"AJ Minter","18655",214.637176470588,157.42,"REZ1",1.36346827893907
"AJ Puckett","sa738686",4.369,NA,NA,NA
"AJ Puk","19343",280.265294117647,317.928,"REZ1",0.881536996167834
"AJ SmithShawver","29960",317.093235294118,278.801,"REZ1",1.13734611889526
"Aaron Ashby","23550",309.747705882353,215.547,"REZ1",1.43703093006329
"Aaron Barrett","11243",4.394,NA,NA,NA
"Aaron Brooks","12272",175.852,259.187,"REZ1",0.678475386497008
"Aaron Brown","sa3017500",214.674,NA,NA,NA
"Aaron Brown","sa598306",4.391,NA,NA,NA
"Aaron Bummer","16258",265.208882352941,272.459,"REZ1",0.973390059983121
"Aaron Civale","19479",600.722882352941,523.311,"REZ1",1.14792710711783
"Aaron Cohn","sa3017210",4.728,NA,NA,NA
"Aaron Davenport","sa3017615",256.2465,NA,NA,NA
"Aaron Fletcher","22052",4.496,NA,NA,NA
"Aaron Haase","sa3017849",4.539,NA,NA,NA
"Aaron Hernandez","sa3008599",82.7155,NA,NA,NA
"Aaron Holiday","sa3017937",4.726,NA,NA,NA
"Aaron Leasher","sa3004701",4.418,NA,NA,NA
"Aaron Loup","10343",63.491,211.476,"REZ1",0.300227921844559
"Aaron McGarity","sa873280",124.173,NA,NA,NA
"Aaron Munson","sa3023257",4.61,NA,NA,NA
"Aaron Nixon","sa3023376",4.822,NA,NA,NA
"Aaron Nola","16149",758.675882352941,701.6,"REZ1",1.08135102957945
"Aaron Northcraft","10218",4.545,NA,NA,NA
"Aaron Ochsenbein","sa3011241",4.401,NA,NA,NA
"Aaron Perry","sa1055363",4.375,NA,NA,NA
"Aaron Pinto","sa3006823",4.373,NA,NA,NA
"Aaron Rozek","sa3015224",210.185,NA,NA,NA
"Aaron Rund","sa3023369",4.579,NA,NA,NA
"Aaron Sanchez","11490",155.737,NA,NA,NA
"Aaron Shortridge","sa3006759",180.2145,NA,NA,NA
"Aaron Slegers","15231",4.38,NA,NA,NA
