"name","playerid","new_W","W","Source","W_adj_rate"
"AJ Alexy","22343",1.52195,NA,NA,NA
"AJ Block","sa3014916",0.0467,NA,NA,NA
"AJ Blubaugh","sa3020112",1.85770833333333,NA,NA,NA
"AJ Candelario","sa3018176",0.0408,NA,NA,NA
"AJ Labas","sa3017638",0.043,NA,NA,NA
"AJ Ladwig","16266",0.046,NA,NA,NA
"AJ Minter","18655",3.77935647058824,1.977,"REZ1",1.9116623523461
"AJ Puckett","sa738686",0.0485,NA,NA,NA
"AJ Puk","19343",4.68479647058824,4.912,"REZ1",0.953745209810309
"AJ SmithShawver","29960",3.60231764705882,2.333,"REZ1",1.54407100173974
"Aaron Ashby","23550",3.84442588235294,3.243,"REZ1",1.18545355607553
"Aaron Barrett","11243",0.0437,NA,NA,NA
"Aaron Brooks","12272",1.90775,1.321,"REZ1",1.44417108251325
"Aaron Brown","sa3017500",2.52615,NA,NA,NA
"Aaron Brown","sa598306",0.0474,NA,NA,NA
"Aaron Bummer","16258",4.20844941176471,4.111,"REZ1",1.02370455163335
"Aaron Civale","19479",8.06501294117647,7.637,"REZ1",1.05604464333855
"Aaron Cohn","sa3017210",0.0391,NA,NA,NA
"Aaron Davenport","sa3017615",2.52215,NA,NA,NA
"Aaron Fletcher","22052",0.0446,NA,NA,NA
"Aaron Haase","sa3017849",0.0428,NA,NA,NA
"Aaron Hernandez","sa3008599",1.02295,NA,NA,NA
"Aaron Holiday","sa3017937",0.0398,NA,NA,NA
"Aaron Leasher","sa3004701",0.0515,NA,NA,NA
"Aaron Loup","10343",1.121,3.799,"REZ1",0.295077652013688
"Aaron McGarity","sa873280",2.02355,NA,NA,NA
"Aaron Munson","sa3023257",0.0439,NA,NA,NA
"Aaron Nixon","sa3023376",0.041,NA,NA,NA
"Aaron Nola","16149",11.8893529411765,13.083,"REZ1",0.908763505402161
"Aaron Northcraft","10218",0.0431,NA,NA,NA
"Aaron Ochsenbein","sa3011241",0.0489,NA,NA,NA
"Aaron Perry","sa1055363",0.05,NA,NA,NA
"Aaron Pinto","sa3006823",0.0479,NA,NA,NA
"Aaron Rozek","sa3015224",2.52515,NA,NA,NA
"Aaron Rund","sa3023369",0.043,NA,NA,NA
"Aaron Sanchez","11490",1.5234,NA,NA,NA
"Aaron Shortridge","sa3006759",2.02325,NA,NA,NA
"Aaron Slegers","15231",0.0468,NA,NA,NA
"Aaron Wilkerson","16904",0.051,NA,NA,NA
"Abdiel Medina","sa3009206",0.0368,NA,NA,NA
"Abdiel Mendoza","sa916829",3.02345,NA,NA,NA
"Abel Adames","sa917912",0.0411,NA,NA,NA
"Abel Brito","sa3015458",0.0387,NA,NA,NA
"Abel Fuerte","sa3021475",0.0361,NA,NA,NA
"Abel Mendez","sa3018902",0.0321,NA,NA,NA
"Abel Mercedes","sa3017013",0.0414,NA,NA,NA
"Abner Uribe","25327",2.04239411764706,1.376,"REZ1",1.4842980506156
"Abraham Gaitan","sa3020492",0.0279,NA,NA,NA
