"name","playerid","new_BABIP","BABIP","Source","BABIP_adj_rate"
"AJ Alexy","22343",0.290655,NA,NA,NA
"AJ Block","sa3014916",0.298187,NA,NA,NA
"AJ Blubaugh","sa3020112",0.289117333333333,NA,NA,NA
"AJ Candelario","sa3018176",0.291375,NA,NA,NA
"AJ Labas","sa3017638",0.299672,NA,NA,NA
"AJ Ladwig","16266",0.295509,NA,NA,NA
"AJ Minter","18655",0.280778352941176,0.273,"REZ1",1.02849213531566
"AJ Puckett","sa738686",0.300206,NA,NA,NA
"AJ Puk","19343",0.290039529411765,0.275,"REZ1",1.05468919786096
"AJ SmithShawver","29960",0.287019647058824,0.295,"REZ1",0.972947956131605
"Aaron Ashby","23550",0.295576705882353,0.296,"REZ1",0.998569952305246
"Aaron Barrett","11243",0.292365,NA,NA,NA
"Aaron Brooks","12272",0.308853333333333,0.349,"REZ1",0.884966571155683
"Aaron Brown","sa3017500",0.291155,NA,NA,NA
"Aaron Brown","sa598306",0.294102,NA,NA,NA
"Aaron Bummer","16258",0.313953294117647,0.329,"REZ1",0.954265331664581
"Aaron Civale","19479",0.285460705882353,0.293,"REZ1",0.974268620758884
"Aaron Cohn","sa3017210",0.294283,NA,NA,NA
"Aaron Davenport","sa3017615",0.2893395,NA,NA,NA
"Aaron Fletcher","22052",0.297486,NA,NA,NA
"Aaron Haase","sa3017849",0.293764,NA,NA,NA
"Aaron Hernandez","sa3008599",0.2964305,NA,NA,NA
"Aaron Holiday","sa3017937",0.292885,NA,NA,NA
"Aaron Leasher","sa3004701",0.290808,NA,NA,NA
"Aaron Loup","10343",0.288305714285714,0.259,"REZ1",1.11314947600662
"Aaron McGarity","sa873280",0.291218,NA,NA,NA
"Aaron Munson","sa3023257",0.300363,NA,NA,NA
"Aaron Nixon","sa3023376",0.297461,NA,NA,NA
"Aaron Nola","16149",0.291722,0.299,"REZ1",0.975658862876254
"Aaron Northcraft","10218",0.299222,NA,NA,NA
"Aaron Ochsenbein","sa3011241",0.29446,NA,NA,NA
"Aaron Perry","sa1055363",0.299622,NA,NA,NA
"Aaron Pinto","sa3006823",0.295199,NA,NA,NA
"Aaron Rozek","sa3015224",0.2956905,NA,NA,NA
"Aaron Rund","sa3023369",0.298753,NA,NA,NA
"Aaron Sanchez","11490",0.295108,NA,NA,NA
"Aaron Shortridge","sa3006759",0.293989,NA,NA,NA
"Aaron Slegers","15231",0.302841,NA,NA,NA
"Aaron Wilkerson","16904",0.289704,NA,NA,NA
"Abdiel Medina","sa3009206",0.296822,NA,NA,NA
"Abdiel Mendoza","sa916829",0.2910035,NA,NA,NA
"Abel Adames","sa917912",0.291352,NA,NA,NA
"Abel Brito","sa3015458",0.297425,NA,NA,NA
"Abel Fuerte","sa3021475",0.301245,NA,NA,NA
"Abel Mendez","sa3018902",0.298556,NA,NA,NA
"Abel Mercedes","sa3017013",0.297362,NA,NA,NA
"Abner Uribe","25327",0.284818941176471,0.297,"REZ1",0.958986333927511
"Abraham Gaitan","sa3020492",0.299178,NA,NA,NA
"Abraham Parra","sa3022369",0.294088,NA,NA,NA
"Abrahan Tejada","sa3019146",0.298972,NA,NA,NA
"Accimias Morales","sa3018809",0.298725,NA,NA,NA
"Adam Boucher","sa3023128",0.297244,NA,NA,NA
"Adam Cimber","15288",0.289080470588235,0.275,"REZ1",1.05120171122995
"Adam Conley","14457",0.294567,NA,NA,NA
"Adam Kloffenstein","24493",0.2926375,0.301,"REZ1",0.972217607973422
"Adam Kolarek","10843",0.299050416666667,0.27,"REZ1",1.10759413580247
"Adam Laskey","sa3014851",0.303023,NA,NA,NA
"Adam Leverett","sa1169991",0.2889865,NA,NA,NA
"Adam Macko","sa3011555",0.288515571428571,NA,NA,NA
"Adam Maier","sa3020883",0.307019,NA,NA,NA
"Adam Mazur","31900",0.287929764705882,0.258,"REZ1",1.11600683994528
"Adam McKillican","sa3017687",0.311289,NA,NA,NA
"Adam Morgan","12580",0.295658,NA,NA,NA
"Adam Oller","20132",0.295603272727273,0.296,"REZ1",0.998659705159705
"Adam Ottavino","1247",0.300389529411765,0.337,"REZ1",0.891363588758946
"Adam Plutko","15846",0.291833,NA,NA,NA
"Adam Scoggins","sa3017845",0.296231,NA,NA,NA
"Adam Scott","sa3006826",0.296286,NA,NA,NA
"Adam Seminaris","sa3015010",0.29223,NA,NA,NA
"Adam Serwinowski","sa3020626",0.298069,NA,NA,NA
"Adam Shoemaker","sa3017888",0.299746,NA,NA,NA
"Adam Smith","sa3017147",0.30198,NA,NA,NA
"Adam Stauffer","sa3005146",0.293132,NA,NA,NA
"Adam Stone","sa3020944",0.295223,NA,NA,NA
"Adam Tulloch","sa3020588",0.293957,NA,NA,NA
"Adam Wainwright","2233",0.312493571428571,0.344,"REZ1",0.908411544850498
"Adam Wolf","sa3007587",0.2902885,NA,NA,NA
"Adan Moreno","sa3021537",0.291105,NA,NA,NA
"Adbert Alzolay","17859",0.28331125,0.27,"REZ1",1.04930092592593
"Adel Dilone","sa3018798",0.297501,NA,NA,NA
"Adenys Bautista","sa3007905",0.291582,NA,NA,NA
"Adilson Peralta","sa3018816",0.295157,NA,NA,NA
"Adisyn Coffey","sa3014738",0.2963615,NA,NA,NA
"Adolfo Oviedo","sa3018882",0.29567,NA,NA,NA
"Adolfo Ramirez","sa3003015",0.29759,NA,NA,NA
"Adonis Medina","19903",0.294255,NA,NA,NA
"Adonis Villavicencio","sa3019070",0.297695,NA,NA,NA
"Adonys Perez","sa3020114",0.308558,NA,NA,NA
"Adrian Acosta","sa3018883",0.296711,NA,NA,NA
"Adrian Alcantara","sa974592",0.295734,NA,NA,NA
"Adrian Bohorquez","sa3021501",0.296773,NA,NA,NA
"Adrian Chaidez","sa3017417",0.287992,NA,NA,NA
"Adrian De Horta","sa737857",0.298101,NA,NA,NA
"Adrian Del Moral","sa3006816",0.304318,NA,NA,NA
"Adrian Delgado","sa3019379",0.299789,NA,NA,NA
"Adrian Florencio","sa3010569",0.29585,NA,NA,NA
"Adrian Heredia","sa3024791",0.297857,NA,NA,NA
"Adrian Hernandez","sa3006177",0.289325,NA,NA,NA
"Adrian Herrera","sa3023627",0.297729,NA,NA,NA
"Adrian Houser","12718",0.299753272727273,0.319,"REZ1",0.939665431746937
"Adrian Martinez","21023",0.29957875,0.322,"REZ1",0.930368788819876
"Adrian Martinez","sa3016049",0.29968,NA,NA,NA
"Adrian Morejon","20039",0.292951294117647,0.31,"REZ1",0.945004174573055
"Adrian Ogando","sa3017617",0.294672,NA,NA,NA
"Adrian Quintana","sa3016465",0.289745,NA,NA,NA
"Adrian Rodriguez","sa3015385",0.296995,NA,NA,NA
"Adrian Sampson","13339",0.2932455,NA,NA,NA
"Adrian Santana","sa3018876",0.296955,NA,NA,NA
"Aidan Anderson","sa3011250",0.2861215,NA,NA,NA
"Aidan Curry","sa3015334",0.292327,NA,NA,NA
"Aidan Maldonado","sa3020829",0.293084,NA,NA,NA
"Al Pesto","sa3021977",0.295145,NA,NA,NA
"Alain Pena","sa3019050",0.296755,NA,NA,NA
"Alan Busenitz","15239",0.29675875,0.276,"REZ1",1.07521286231884
"Alan Carter","sa3020817",0.296444,NA,NA,NA
"Alan Mundo","sa3005688",0.294997,NA,NA,NA
"Alan Perdomo","sa3006399",0.316628,NA,NA,NA
"Alan Rangel","sa877578",0.288314285714286,NA,NA,NA
"Alan Strong","sa3006768",0.293222,NA,NA,NA
"Alaska Abney","sa3017308",0.29016,NA,NA,NA
"Albert Abreu","17485",0.288016266666667,0.276,"REZ1",1.04353719806763
"Albert Breton","sa3009995",0.298176,NA,NA,NA
"Albert Polanco","sa3019660",0.293604,NA,NA,NA
"Albert Rivas","sa3018286",0.300962,NA,NA,NA
"Albert Suarez","6175",0.294561764705882,0.288,"REZ1",1.02278390522876
"Alberto Baldonado","11812",0.287428,NA,NA,NA
"Alberto Guerrero","sa872514",0.291012,NA,NA,NA
"Alberto Mota","sa3016712",0.299613,NA,NA,NA
"Alberto Pacheco","sa3015421",0.311597,NA,NA,NA
"Albertus Barber","sa1172728",0.295035,NA,NA,NA
"Aldrin Batista","sa3019119",0.29307,NA,NA,NA
"Aldry Acosta","sa3002794",0.299564,NA,NA,NA
"Alec Baker","sa3022794",0.297346,NA,NA,NA
"Alec Barger","sa3010566",0.304703,NA,NA,NA
"Alec Bettinger","20312",0.294882,NA,NA,NA
"Alec Gamboa","sa3011249",0.2921705,NA,NA,NA
"Alec Kisena","sa875686",0.291909,NA,NA,NA
"Alec Marsh","27451",0.295807411764706,0.293,"REZ1",1.00958161011845
"Alec Mills","13834",0.327412142857143,0.397,"REZ1",0.824715725080964
"Alejandro Gomez","sa3017618",0.293247,NA,NA,NA
"Alejandro Hidalgo","sa3015151",0.292617,NA,NA,NA
"Alejandro Lugo","sa3009253",0.289288,NA,NA,NA
"Alejandro Manzano","sa3019125",0.295547,NA,NA,NA
"Alejandro Mateo","sa918495",0.295955,NA,NA,NA
"Alejandro Melean","sa3006815",0.289392,NA,NA,NA
