"name","playerid","new_G","G","Source","G_adj_rate"
"AJ Alexy","22343",10.5,NA,NA,NA
"AJ Block","sa3014916",0.9563,NA,NA,NA
"AJ Blubaugh","sa3020112",12.2429216666667,NA,NA,NA
"AJ Candelario","sa3018176",1,NA,NA,NA
"AJ Labas","sa3017638",1,NA,NA,NA
"AJ Ladwig","16266",1,NA,NA,NA
"AJ Minter","18655",53.2840352941177,47.975,"REZ1",1.11066253869969
"AJ Puckett","sa738686",0.7939,NA,NA,NA
"AJ Puk","19343",60.6632705882353,55.068,"REZ1",1.1016065698452
"AJ SmithShawver","29960",35.1794470588235,28.357,"REZ1",1.24059128465012
"Aaron Ashby","23550",35.1551411764706,25.446,"REZ1",1.38155864090508
"Aaron Barrett","11243",1,NA,NA,NA
"Aaron Brooks","12272",11.0293333333333,17.852,"REZ1",0.617820598999178
"Aaron Brown","sa3017500",11.62855,NA,NA,NA
"Aaron Brown","sa598306",0.9175,NA,NA,NA
"Aaron Bummer","16258",59.4844352941176,58.665,"REZ1",1.01396804387825
"Aaron Civale","19479",32.8798941176471,28.673,"REZ1",1.14671970556437
"Aaron Cohn","sa3017210",1,NA,NA,NA
"Aaron Davenport","sa3017615",12.091,NA,NA,NA
"Aaron Fletcher","22052",1,NA,NA,NA
"Aaron Haase","sa3017849",1,NA,NA,NA
"Aaron Hernandez","sa3008599",9.5,NA,NA,NA
"Aaron Holiday","sa3017937",0.7708,NA,NA,NA
"Aaron Leasher","sa3004701",0.4475,NA,NA,NA
"Aaron Loup","10343",10.8905714285714,35.617,"REZ1",0.305768914523161
"Aaron McGarity","sa873280",24.5,NA,NA,NA
"Aaron Munson","sa3023257",1,NA,NA,NA
"Aaron Nixon","sa3023376",1,NA,NA,NA
"Aaron Nola","16149",30.1019294117647,27.968,"REZ1",1.07629896352134
"Aaron Northcraft","10218",1,NA,NA,NA
"Aaron Ochsenbein","sa3011241",0.8681,NA,NA,NA
"Aaron Perry","sa1055363",0.5795,NA,NA,NA
"Aaron Pinto","sa3006823",0.9118,NA,NA,NA
"Aaron Rozek","sa3015224",11.1537,NA,NA,NA
"Aaron Rund","sa3023369",1,NA,NA,NA
"Aaron Sanchez","11490",7.6953,NA,NA,NA
"Aaron Shortridge","sa3006759",9.64625,NA,NA,NA
"Aaron Slegers","15231",1,NA,NA,NA
"Aaron Wilkerson","16904",0.3494,NA,NA,NA
"Abdiel Medina","sa3009206",1,NA,NA,NA
"Abdiel Mendoza","sa916829",15.24605,NA,NA,NA
"Abel Adames","sa917912",0.8912,NA,NA,NA
"Abel Brito","sa3015458",1,NA,NA,NA
"Abel Fuerte","sa3021475",1,NA,NA,NA
"Abel Mendez","sa3018902",0.7419,NA,NA,NA
"Abel Mercedes","sa3017013",1,NA,NA,NA
"Abner Uribe","25327",42.4567411764706,30.495,"REZ1",1.39225253898903
"Abraham Gaitan","sa3020492",0.5053,NA,NA,NA
"Abraham Parra","sa3022369",0.2958,NA,NA,NA
"Abrahan Tejada","sa3019146",1,NA,NA,NA
"Accimias Morales","sa3018809",0.2892,NA,NA,NA
"Adam Boucher","sa3023128",1,NA,NA,NA
"Adam Cimber","15288",30.1476235294118,41.606,"REZ1",0.724597979363836
"Adam Conley","14457",1,NA,NA,NA
"Adam Kloffenstein","24493",13.7846666666667,30.208,"REZ1",0.456325035310734
"Adam Kolarek","10843",22.7878333333333,26.727,"REZ1",0.852614709220389
"Adam Laskey","sa3014851",15.2753,NA,NA,NA
"Adam Leverett","sa1169991",11.6001,NA,NA,NA
"Adam Macko","sa3011555",5.10394714285714,NA,NA,NA
"Adam Maier","sa3020883",0.1754,NA,NA,NA
"Adam Mazur","31900",12.2518658823529,24.931,"REZ1",0.491430984812199
"Adam McKillican","sa3017687",1,NA,NA,NA
"Adam Morgan","12580",1,NA,NA,NA
"Adam Oller","20132",14.2826181818182,22.741,"REZ1",0.628055854264025
"Adam Ottavino","1247",45.9577058823529,56.227,"REZ1",0.817360091812705
"Adam Plutko","15846",8.4926,NA,NA,NA
"Adam Scoggins","sa3017845",1,NA,NA,NA
"Adam Scott","sa3006826",0.3453,NA,NA,NA
"Adam Seminaris","sa3015010",10.68295,NA,NA,NA
"Adam Serwinowski","sa3020626",0.1754,NA,NA,NA
"Adam Shoemaker","sa3017888",0.6562,NA,NA,NA
"Adam Smith","sa3017147",1,NA,NA,NA
"Adam Stauffer","sa3005146",1,NA,NA,NA
"Adam Stone","sa3020944",1,NA,NA,NA
"Adam Tulloch","sa3020588",1,NA,NA,NA
"Adam Wainwright","2233",8.56871428571429,29.552,"REZ1",0.289953786062341
"Adam Wolf","sa3007587",13.33715,NA,NA,NA
"Adan Moreno","sa3021537",1,NA,NA,NA
"Adbert Alzolay","17859",20.1491666666667,38.395,"REZ1",0.524786213482658
"Adel Dilone","sa3018798",0.7056,NA,NA,NA
"Adenys Bautista","sa3007905",1,NA,NA,NA
"Adilson Peralta","sa3018816",1,NA,NA,NA
"Adisyn Coffey","sa3014738",23,NA,NA,NA
"Adolfo Oviedo","sa3018882",0.3131,NA,NA,NA
"Adolfo Ramirez","sa3003015",0.4278,NA,NA,NA
"Adonis Medina","19903",18,NA,NA,NA
"Adonis Villavicencio","sa3019070",1,NA,NA,NA
