"name","playerid","new_GS","GS","Source","GS_adj_rate"
"AJ Alexy","22343",5,NA,NA,NA
"AJ Block","sa3014916",0.0093,NA,NA,NA
"AJ Blubaugh","sa3020112",3.5,NA,NA,NA
"AJ Candelario","sa3018176",0,NA,NA,NA
"AJ Labas","sa3017638",0,NA,NA,NA
"AJ Ladwig","16266",0,NA,NA,NA
"AJ Minter","18655",-0.674647058823529,-3.823,"REZ1",0.176470588235294
"AJ Puckett","sa738686",0.0439,NA,NA,NA
"AJ Puk","19343",1.34271352941176,5.325,"REZ1",0.252152775476388
"AJ SmithShawver","29960",10.86524,10.363,"REZ1",1.04846473029046
"Aaron Ashby","23550",7.66169411764706,5.648,"REZ1",1.3565322446259
"Aaron Barrett","11243",0,NA,NA,NA
"Aaron Brooks","12272",5.86108333333333,9.81,"REZ1",0.597460074753653
"Aaron Brown","sa3017500",7.57905,NA,NA,NA
"Aaron Brown","sa598306",0.0175,NA,NA,NA
"Aaron Bummer","16258",0.263294117647059,1.492,"REZ1",0.176470588235294
"Aaron Civale","19479",25.9977176470588,29.674,"REZ1",0.87611099437416
"Aaron Cohn","sa3017210",0,NA,NA,NA
"Aaron Davenport","sa3017615",11.087,NA,NA,NA
"Aaron Fletcher","22052",0,NA,NA,NA
"Aaron Haase","sa3017849",0,NA,NA,NA
"Aaron Hernandez","sa3008599",2.5,NA,NA,NA
"Aaron Holiday","sa3017937",0.0488,NA,NA,NA
"Aaron Leasher","sa3004701",0.1175,NA,NA,NA
"Aaron Loup","10343",3.30028571428571,11.551,"REZ1",0.285714285714286
"Aaron McGarity","sa873280",0,NA,NA,NA
"Aaron Munson","sa3023257",0,NA,NA,NA
"Aaron Nixon","sa3023376",0,NA,NA,NA
"Aaron Nola","16149",31.3134,34.833,"REZ1",0.898957884764448
"Aaron Northcraft","10218",0,NA,NA,NA
"Aaron Ochsenbein","sa3011241",0.0281,NA,NA,NA
"Aaron Perry","sa1055363",0.0895,NA,NA,NA
"Aaron Pinto","sa3006823",0.0188,NA,NA,NA
"Aaron Rozek","sa3015224",6.5737,NA,NA,NA
"Aaron Rund","sa3023369",0,NA,NA,NA
"Aaron Sanchez","11490",7.0648,NA,NA,NA
"Aaron Shortridge","sa3006759",7.57525,NA,NA,NA
"Aaron Slegers","15231",0,NA,NA,NA
"Aaron Wilkerson","16904",0.1384,NA,NA,NA
"Abdiel Medina","sa3009206",0,NA,NA,NA
"Abdiel Mendoza","sa916829",4.05405,NA,NA,NA
"Abel Adames","sa917912",0.0232,NA,NA,NA
"Abel Brito","sa3015458",0,NA,NA,NA
"Abel Fuerte","sa3021475",0,NA,NA,NA
"Abel Mendez","sa3018902",0.0549,NA,NA,NA
"Abel Mercedes","sa3017013",0,NA,NA,NA
"Abner Uribe","25327",-0.347823529411765,-1.971,"REZ1",0.176470588235294
"Abraham Gaitan","sa3020492",0.1053,NA,NA,NA
"Abraham Parra","sa3022369",0.1498,NA,NA,NA
"Abrahan Tejada","sa3019146",0,NA,NA,NA
"Accimias Morales","sa3018809",0.1512,NA,NA,NA
"Adam Boucher","sa3023128",0,NA,NA,NA
"Adam Cimber","15288",0.193411764705882,1.096,"REZ1",0.176470588235294
"Adam Conley","14457",0,NA,NA,NA
"Adam Kloffenstein","24493",8.80516666666667,5.331,"REZ1",1.65169136497218
"Adam Kolarek","10843",2.35266666666667,14.116,"REZ1",0.166666666666667
"Adam Laskey","sa3014851",2.5478,NA,NA,NA
"Adam Leverett","sa1169991",8.0851,NA,NA,NA
"Adam Macko","sa3011555",4.74454571428571,NA,NA,NA
"Adam Maier","sa3020883",0.1754,NA,NA,NA
"Adam Mazur","31900",9.54735058823529,12.424,"REZ1",0.768460285595243
"Adam McKillican","sa3017687",0,NA,NA,NA
"Adam Morgan","12580",0,NA,NA,NA
"Adam Oller","20132",6.10753272727273,6.568,"REZ1",0.929892315358211
"Adam Ottavino","1247",-0.192882352941176,-1.093,"REZ1",0.176470588235294
"Adam Plutko","15846",6.0016,NA,NA,NA
"Adam Scoggins","sa3017845",0,NA,NA,NA
"Adam Scott","sa3006826",0.1393,NA,NA,NA
"Adam Seminaris","sa3015010",6.06745,NA,NA,NA
"Adam Serwinowski","sa3020626",0.1754,NA,NA,NA
"Adam Shoemaker","sa3017888",0.0732,NA,NA,NA
"Adam Smith","sa3017147",0,NA,NA,NA
"Adam Stauffer","sa3005146",0,NA,NA,NA
"Adam Stone","sa3020944",0,NA,NA,NA
"Adam Tulloch","sa3020588",0,NA,NA,NA
"Adam Wainwright","2233",7.93214285714286,27.324,"REZ1",0.290299475082084
"Adam Wolf","sa3007587",3.53465,NA,NA,NA
"Adan Moreno","sa3021537",0,NA,NA,NA
"Adbert Alzolay","17859",2.74316666666667,-1.041,"REZ1",-2.63512648094781
"Adel Dilone","sa3018798",0.0626,NA,NA,NA
"Adenys Bautista","sa3007905",0,NA,NA,NA
"Adilson Peralta","sa3018816",0,NA,NA,NA
"Adisyn Coffey","sa3014738",0,NA,NA,NA
"Adolfo Oviedo","sa3018882",0.1461,NA,NA,NA
"Adolfo Ramirez","sa3003015",0.1218,NA,NA,NA
"Adonis Medina","19903",2,NA,NA,NA
"Adonis Villavicencio","sa3019070",0,NA,NA,NA
"Adonys Perez","sa3020114",0.1739,NA,NA,NA
"Adrian Acosta","sa3018883",0.156,NA,NA,NA
"Adrian Alcantara","sa974592",0.13,NA,NA,NA
"Adrian Bohorquez","sa3021501",0.1639,NA,NA,NA
"Adrian Chaidez","sa3017417",0.1253,NA,NA,NA
"Adrian De Horta","sa737857",0.0923,NA,NA,NA
"Adrian Del Moral","sa3006816",0,NA,NA,NA
"Adrian Delgado","sa3019379",0,NA,NA,NA
"Adrian Florencio","sa3010569",0.1625,NA,NA,NA
"Adrian Heredia","sa3024791",0.1754,NA,NA,NA
"Adrian Hernandez","sa3006177",0,NA,NA,NA
"Adrian Herrera","sa3023627",0.1156,NA,NA,NA
"Adrian Houser","12718",7.64499272727273,11.312,"REZ1",0.675830333033303
"Adrian Martinez","21023",6.32858333333333,5.453,"REZ1",1.16056910569106
"Adrian Martinez","sa3016049",0.1526,NA,NA,NA
"Adrian Morejon","20039",-0.383868195882353,-2.843,"REZ1",0.135022228590346
"Adrian Ogando","sa3017617",0,NA,NA,NA
"Adrian Quintana","sa3016465",0,NA,NA,NA
"Adrian Rodriguez","sa3015385",0,NA,NA,NA
"Adrian Sampson","13339",10.083,NA,NA,NA
"Adrian Santana","sa3018876",0.0439,NA,NA,NA
"Aidan Anderson","sa3011250",1.017,NA,NA,NA
"Aidan Curry","sa3015334",0.1704,NA,NA,NA
"Aidan Maldonado","sa3020829",0,NA,NA,NA
"Al Pesto","sa3021977",0,NA,NA,NA
"Alain Pena","sa3019050",0.1591,NA,NA,NA
"Alan Busenitz","15239",1.30583333333333,2.835,"REZ1",0.46061140505585
"Alan Carter","sa3020817",0,NA,NA,NA
"Alan Mundo","sa3005688",0,NA,NA,NA
"Alan Perdomo","sa3006399",0.0256,NA,NA,NA
"Alan Rangel","sa877578",2.57142857142857,NA,NA,NA
"Alan Strong","sa3006768",0.0281,NA,NA,NA
"Alaska Abney","sa3017308",0,NA,NA,NA
"Albert Abreu","17485",0.2898,1.449,"REZ1",0.2
"Albert Breton","sa3009995",0,NA,NA,NA
"Albert Polanco","sa3019660",0.1719,NA,NA,NA
"Albert Rivas","sa3018286",0,NA,NA,NA
"Albert Suarez","6175",9.18012,17.385,"REZ1",0.528048317515099
"Alberto Baldonado","11812",0,NA,NA,NA
"Alberto Guerrero","sa872514",0,NA,NA,NA
"Alberto Mota","sa3016712",0.0211,NA,NA,NA
"Alberto Pacheco","sa3015421",0.1719,NA,NA,NA
"Albertus Barber","sa1172728",0,NA,NA,NA
"Aldrin Batista","sa3019119",0.1754,NA,NA,NA
"Aldry Acosta","sa3002794",0,NA,NA,NA
"Alec Baker","sa3022794",0.0604,NA,NA,NA
"Alec Barger","sa3010566",0.5,NA,NA,NA
"Alec Bettinger","20312",0.0702,NA,NA,NA
"Alec Gamboa","sa3011249",4.0752,NA,NA,NA
"Alec Kisena","sa875686",0.1646,NA,NA,NA
"Alec Marsh","27451",18.9374705882353,20.419,"REZ1",0.927443586279215
"Alec Mills","13834",0.604,2.114,"REZ1",0.285714285714286
"Alejandro Gomez","sa3017618",0,NA,NA,NA
"Alejandro Hidalgo","sa3015151",0.1325,NA,NA,NA
"Alejandro Lugo","sa3009253",0.0296,NA,NA,NA
"Alejandro Manzano","sa3019125",0.1332,NA,NA,NA
"Alejandro Mateo","sa918495",0.0184,NA,NA,NA
"Alejandro Melean","sa3006815",3.5,NA,NA,NA
"Alejandro Mendez","sa3011785",0,NA,NA,NA
"Alejandro Ramirez","sa3021042",0,NA,NA,NA
"Alejandro Rosario","sa3023538",0.1732,NA,NA,NA
"Alejandro Torres","sa3023265",0,NA,NA,NA
"Alek Jacob","29628",0.917647058823529,5.2,"REZ1",0.176470588235294
"Alek Manoah","26410",5.57006588235294,10.117,"REZ1",0.550564977992779
"Alemao Hernandez","sa3002788",0.1582,NA,NA,NA
"Alessandro Ercolani","sa3016714",0.1316,NA,NA,NA
"Alex Amalfi","sa3020489",0,NA,NA,NA
"Alex Ayala Jr","sa3017141",0.1586,NA,NA,NA
"Alex Bustamante","sa3020631",0,NA,NA,NA
"Alex Claudio","12890",0,NA,NA,NA
"Alex Clemmey","sa3023421",0.1754,NA,NA,NA
"Alex Cobb","6562",17.4731411764706,15.772,"REZ1",1.10785830436664
"Alex Colome","6661",0.865428571428571,3.029,"REZ1",0.285714285714286
"Alex Cook","sa3020879",0.1754,NA,NA,NA
"Alex Cornwell","sa3017501",3,NA,NA,NA
"Alex Faedo","19874",3.20327882352941,6.609,"REZ1",0.484684343097203
"Alex Garbrick","sa3017465",0,NA,NA,NA
"Alex Hoppe","sa3020836",0,NA,NA,NA
"Alex Lange","19883",0.320294117647059,1.815,"REZ1",0.176470588235294
"Alex Makarewich","sa3023642",0.1502,NA,NA,NA
"Alex Martinez","sa3015284",0,NA,NA,NA
"Alex Mauricio","sa3004337",0,NA,NA,NA
"Alex McFarlane","sa3020633",0.1754,NA,NA,NA
"Alex McKenney","sa3017209",0,NA,NA,NA
"Alex Nolan","sa3010267",0,NA,NA,NA
"Alex Pham","sa3017550",11.5877,NA,NA,NA
"Alex Phillips","sa3008595",0,NA,NA,NA
"Alex Powers","sa621533",0,NA,NA,NA
"Alex Rao","sa3020595",0,NA,NA,NA
"Alex Reyes","15015",0,NA,NA,NA
"Alex Santos II","sa3014684",5.0844,NA,NA,NA
"Alex Scherff","sa3005397",0,NA,NA,NA
"Alex Segal","sa919036",0,NA,NA,NA
"Alex Speas","21859",0.347823529411765,1.971,"REZ1",0.176470588235294
"Alex Troop","sa915638",5.5665,NA,NA,NA
"Alex Valdez","sa3005432",0,NA,NA,NA
"Alex Valverde","sa3005207",0.1593,NA,NA,NA
"Alex Vesia","25007",0.0963529411764706,0.546,"REZ1",0.176470588235294
"Alex Wells","19845",0,NA,NA,NA
"Alex Williams","sa3020314",0.1232,NA,NA,NA
"Alex Wood","13781",13.2106941176471,17.783,"REZ1",0.742883322141768
"Alex Young","18333",0.240352941176471,1.362,"REZ1",0.176470588235294
"Alexander Agramonte","sa3021034",0.0889,NA,NA,NA
"Alexander Alberto","sa3015986",0,NA,NA,NA
"Alexander Beltre","sa3015444",0,NA,NA,NA
"Alexander Campos","sa3022221",0.1698,NA,NA,NA
"Alexander Cornielle","sa3011779",0.1719,NA,NA,NA
"Alexander De Los Santos","sa3023083",0.1679,NA,NA,NA
"Alexander Fuentes","sa3024072",0.1723,NA,NA,NA
"Alexander Johnson","sa3015278",0,NA,NA,NA
"Alexander Vallecillo","sa3016034",0.1582,NA,NA,NA
"Alexis Cedano","sa3006641",0,NA,NA,NA
"Alexis De La Cruz","sa3022007",0.0549,NA,NA,NA
"Alexis Diaz","21132",-0.0305294117647059,-0.173,"REZ1",0.176470588235294
"Alexis Liebano","sa3019885",0,NA,NA,NA
"Alexis Paulino","sa3019128",0.0444,NA,NA,NA
"Alexis Torres","sa3019375",0.0488,NA,NA,NA
"Alexuan Vega","sa3008334",0,NA,NA,NA
"Alfonso Perez","sa3019659",0.1632,NA,NA,NA
"Alfred Morillo","sa3018870",0,NA,NA,NA
"Alfred Vega","sa3006495",0,NA,NA,NA
"Alfredi Jimenez","sa3006479",0.1565,NA,NA,NA
"Alfredo Romero","sa3018345",0.1563,NA,NA,NA
"Alfredo Ruiz","sa3017506",0,NA,NA,NA
"Alfredo Zarraga","sa3018276",0.50815,NA,NA,NA
"Ali Ascanio","sa3018306",0,NA,NA,NA
"Alimber Santa","sa3015478",4.0351,NA,NA,NA
"Alison Zacarias","sa3022388",0.1716,NA,NA,NA
"Alix Hernandez","sa3021479",0.0386,NA,NA,NA
"Allan Hernandez","sa3011399",0,NA,NA,NA
"Allan Saathoff","sa3020711",0,NA,NA,NA
"Allan Winans","21238",5.63506363636364,6.186,"REZ1",0.910938188872233
"Allen Facundo","sa3016071",0.1705,NA,NA,NA
"Alonzo Richardson","sa3015333",0.1702,NA,NA,NA
"Alonzo Tredwell","sa3023524",0.1682,NA,NA,NA
"Alvaro Benua","sa3018032",0,NA,NA,NA
"Alvaro Gamez","sa3018854",0.1012,NA,NA,NA
"Alvaro Pineda","sa3019503",0.164,NA,NA,NA
"Alvin Nova","sa3022153",0.1488,NA,NA,NA
"Amauri Otero","sa3019075",0.1196,NA,NA,NA
"Amilcar Chirinos","sa3017149",0,NA,NA,NA
"Amir Garrett","14375",1.58090909090909,5.13,"REZ1",0.308169413432571
"Amos Willingham","26128",0.639352941176471,3.623,"REZ1",0.176470588235294
"Anders Tolhurst","sa3019818",0,NA,NA,NA
"Anderson Amarista","sa917061",0.1442,NA,NA,NA
"Anderson Beltre","sa3022002",0.1688,NA,NA,NA
"Anderson Bido","sa3004204",0.5149,NA,NA,NA
"Anderson Brito","sa3024232",0.1535,NA,NA,NA
"Anderson Cardenas","sa3020991",0.1096,NA,NA,NA
"Anderson Espinoza","18593",0,NA,NA,NA
"Anderson Guevara","sa3019182",0.1211,NA,NA,NA
"Anderson Jerez","sa3021778",0.0732,NA,NA,NA
"Anderson Munoz","sa3007840",0,NA,NA,NA
"Anderson Paulino","sa3007991",1,NA,NA,NA
"Anderson Pilar","sa917899",0.428571428571429,NA,NA,NA
"Anderson Severino","20582",0,NA,NA,NA
"Andinson Ferrer","sa3018819",0,NA,NA,NA
"Andre Granillo","sa3016913",0,NA,NA,NA
"Andre Jackson","21298",1.41335714285714,4.759,"REZ1",0.296986161558551
"Andre Pallante","26108",23.9026235294118,28.731,"REZ1",0.831945408423367
"Andre Sanchez","sa3018297",0.1667,NA,NA,NA
"Andre Scrubb","20329",0,NA,NA,NA
"Andres Cova","sa3024530",0.1719,NA,NA,NA
"Andres Diaz","sa3006159",0.1286,NA,NA,NA
"Andres Jimenez","sa3019648",0,NA,NA,NA
"Andres Machado","14681",1.02057142857143,3.572,"REZ1",0.285714285714286
"Andres Munoz","20373",-0.0658235294117647,-0.373,"REZ1",0.176470588235294
"Andres Nunez","sa3006796",0.0204,NA,NA,NA
"Andres Parra","sa3018329",0.0549,NA,NA,NA
"Andres Silvera","sa3016284",0.1349,NA,NA,NA
"Andres Sotillet","sa917861",0,NA,NA,NA
"Andrew Abbott","29911",22.5596705882353,13.126,"REZ1",1.71870109616298
"Andrew Albers","7853",0.1139,NA,NA,NA
"Andrew Alvarez","sa3017531",11.0877,NA,NA,NA
"Andrew Baker","sa3017196",0,NA,NA,NA
"Andrew Bash","sa3010259",6.07595,NA,NA,NA
"Andrew Bechtold","sa829787",0,NA,NA,NA
"Andrew Bellatti","10657",0.788166666666667,4.729,"REZ1",0.166666666666667
"Andrew Bolivar","sa3024521",0.1688,NA,NA,NA
"Andrew Cabezas","sa3007461",0,NA,NA,NA
"Andrew Chafin","12988",-0.428294117647059,-2.427,"REZ1",0.176470588235294
"Andrew Dalquist","sa3011841",5,NA,NA,NA
"Andrew Edwards","sa1170614",0,NA,NA,NA
"Andrew Gross","sa3010127",0.0391,NA,NA,NA
"Andrew Heaney","15423",23.2416588235294,22.692,"REZ1",1.02422258168206
"Andrew Hoffmann","sa3017202",9.072,NA,NA,NA
"Andrew Kittredge","12828",0.307588235294118,1.743,"REZ1",0.176470588235294
"Andrew Landry","sa3024982",0.1237,NA,NA,NA
"Andrew Lee","sa856275",0,NA,NA,NA
"Andrew Magno","sa3010824",0,NA,NA,NA
"Andrew Marrero","sa3016941",0,NA,NA,NA
"Andrew McInvale","sa3011143",0,NA,NA,NA
"Andrew Miller","6785",0,NA,NA,NA
"Andrew Misiaszek","sa3010118",0.166666666666667,NA,NA,NA
"Andrew Mitchell","sa3007801",0,NA,NA,NA
"Andrew Moore","17553",0.1516,NA,NA,NA
"Andrew Moore","sa3016795",0,NA,NA,NA
"Andrew Morris","sa3020569",3.66666666666667,NA,NA,NA
"Andrew Nardi","25942",0.217411764705882,1.232,"REZ1",0.176470588235294
"Andrew Painter","sa3017880",12.5039714285714,NA,NA,NA
"Andrew Perez","sa3006640",0.0177,NA,NA,NA
"Andrew Politi","sa3007243",2,NA,NA,NA
"Andrew Quezada","sa3009858",7.07815,NA,NA,NA
"Andrew Saalfrank","26203",1.2206,6.103,"REZ1",0.2
"Andrew Schultz","sa3010782",0,NA,NA,NA
"Andrew Sears","sa3023133",0.17,NA,NA,NA
"Andrew Shaps","sa3008430",0,NA,NA,NA
"Andrew Suarez","18300",1.24866666666667,2.492,"REZ1",0.501070090957731
"Andrew Taylor","sa3020873",0.1547,NA,NA,NA
"Andrew Vasquez","19482",2.92166666666667,10.03,"REZ1",0.291292788301761
"Andrew Walling","sa3020319",0,NA,NA,NA
"Andrew Walters","33834",0.828239466666667,3.144,"REZ1",0.263434944868533
"Andrew Wantz","24933",2.42520563636364,5.902,"REZ1",0.410912510397092
"Andry Lara","sa3014716",4.8,NA,NA,NA
"Andy Basora","sa3019168",0.1632,NA,NA,NA
"Andy Fisher","sa1172135",0,NA,NA,NA
"Andy Luis","sa3015633",0,NA,NA,NA
"Andy Otero","sa506550",0.0872,NA,NA,NA
"Andy Rodriguez","sa3017620",0,NA,NA,NA
"Andy Rodriguez","sa3020863",1.01905,NA,NA,NA
"Andy Santana","sa3002957",0,NA,NA,NA
"Anel Cabrera","sa3021033",0,NA,NA,NA
"Aneudis George","sa3016514",0,NA,NA,NA
"Aneudis Mejia","sa3019960",0.1158,NA,NA,NA
"Aneudy Cortorreal","sa3009242",0,NA,NA,NA
"Aneuris Rodriguez","sa3019393",0.1353,NA,NA,NA
"Aneuris Rosario","sa828343",0,NA,NA,NA
"Aneury Lora","sa3019365",0.1446,NA,NA,NA
"Aneurys Zabala","20802",0,NA,NA,NA
"Anfernny Reyes","sa3018807",0,NA,NA,NA
"Angel Acevedo","sa917893",0,NA,NA,NA
"Angel Alfonseca","sa3015308",0,NA,NA,NA
"Angel Anazco","sa3021494",0.0207,NA,NA,NA
"Angel Bastardo","sa3009716",2.57142857142857,NA,NA,NA
"Angel Bello","sa3024272",0.1663,NA,NA,NA
"Angel Beltran","sa3024556",0.1563,NA,NA,NA
"Angel Camacho","sa3022175",0.0488,NA,NA,NA
"Angel Chivilli","26790",0.847058823529412,4.8,"REZ1",0.176470588235294
"Angel Cruz","sa3020988",0,NA,NA,NA
"Angel Cuenca","sa3006414",0,NA,NA,NA
"Angel De Jesus","22323",0,NA,NA,NA
"Angel Felipe","21163",0.358,1.253,"REZ1",0.285714285714286
"Angel Gonzalez","sa3015160",0,NA,NA,NA
"Angel Hernandez","sa3015363",0,NA,NA,NA
"Angel Hernandez","sa3019189",0,NA,NA,NA
"Angel Jimenez","sa3018287",0.1716,NA,NA,NA
