"name","playerid","new_WAR","WAR","Source","WAR_adj_rate"
"AJ Alexy","22343",-0.24206905,NA,NA,NA
"AJ Block","sa3014916",-0.00370735,NA,NA,NA
"AJ Blubaugh","sa3020112",0.144007548,NA,NA,NA
"AJ Candelario","sa3018176",-0.0151348,NA,NA,NA
"AJ Labas","sa3017638",-0.012891,NA,NA,NA
"AJ Ladwig","16266",-0.0052276,NA,NA,NA
"AJ Minter","18655",0.560388705882353,0.011,"REZ1",50.9444278074866
"AJ Puckett","sa738686",-0.00442107,NA,NA,NA
"AJ Puk","19343",0.984258470588235,1.508,"REZ1",0.652691293493525
"AJ SmithShawver","29960",0.597450470588235,0.597,"REZ1",1.00075455709922
"Aaron Ashby","23550",0.615207176470588,0.717,"REZ1",0.858029534826483
"Aaron Barrett","11243",-0.00682516,NA,NA,NA
"Aaron Brooks","12272",-0.0364227095416667,0.015,"REZ1",-2.42818063611111
"Aaron Brown","sa3017500",0.25459154855,NA,NA,NA
"Aaron Brown","sa598306",-0.00578485,NA,NA,NA
"Aaron Bummer","16258",0.949500705882353,0.673,"REZ1",1.41084800279696
"Aaron Civale","19479",1.38496352941176,1.264,"REZ1",1.09569899478779
"Aaron Cohn","sa3017210",-0.0242069,NA,NA,NA
"Aaron Davenport","sa3017615",0.03639099855,NA,NA,NA
"Aaron Fletcher","22052",-0.00975045,NA,NA,NA
"Aaron Haase","sa3017849",-0.0116997,NA,NA,NA
"Aaron Hernandez","sa3008599",-0.069602415,NA,NA,NA
"Aaron Holiday","sa3017937",-0.0207053,NA,NA,NA
"Aaron Leasher","sa3004701",-9.99029e-05,NA,NA,NA
"Aaron Loup","10343",0.174155435714286,0.604,"REZ1",0.288336814096499
"Aaron McGarity","sa873280",-0.145879165,NA,NA,NA
"Aaron Munson","sa3023257",-0.012525,NA,NA,NA
"Aaron Nixon","sa3023376",-0.0221325,NA,NA,NA
"Aaron Nola","16149",3.42538235294118,3.64,"REZ1",0.941039107950873
"Aaron Northcraft","10218",-0.0124658,NA,NA,NA
"Aaron Ochsenbein","sa3011241",-0.00625291,NA,NA,NA
"Aaron Perry","sa1055363",-0.00347037,NA,NA,NA
"Aaron Pinto","sa3006823",-0.00287697,NA,NA,NA
"Aaron Rozek","sa3015224",0.07200054855,NA,NA,NA
"Aaron Rund","sa3023369",-0.0123848,NA,NA,NA
"Aaron Sanchez","11490",-0.08919795145,NA,NA,NA
"Aaron Shortridge","sa3006759",0.05796504855,NA,NA,NA
"Aaron Slegers","15231",-0.00288884,NA,NA,NA
"Aaron Wilkerson","16904",-9.99029e-05,NA,NA,NA
"Abdiel Medina","sa3009206",-0.0318161,NA,NA,NA
"Abdiel Mendoza","sa916829",-0.12480895145,NA,NA,NA
"Abel Adames","sa917912",-0.0180627,NA,NA,NA
"Abel Brito","sa3015458",-0.0257066,NA,NA,NA
"Abel Fuerte","sa3021475",-0.034487,NA,NA,NA
"Abel Mendez","sa3018902",-0.0367888,NA,NA,NA
"Abel Mercedes","sa3017013",-0.0222818,NA,NA,NA
"Abner Uribe","25327",0.102176776470588,-0.439,"REZ1",-0.232748921345303
"Abraham Gaitan","sa3020492",-0.0327901,NA,NA,NA
"Abraham Parra","sa3022369",-9.99029e-05,NA,NA,NA
"Abrahan Tejada","sa3019146",-0.0328824,NA,NA,NA
"Accimias Morales","sa3018809",-9.99029e-05,NA,NA,NA
"Adam Boucher","sa3023128",-0.0149713,NA,NA,NA
"Adam Cimber","15288",-0.0810380470588235,-0.114,"REZ1",0.710860061919505
"Adam Conley","14457",0.00419293,NA,NA,NA
"Adam Kloffenstein","24493",0.337003385833333,0.687,"REZ1",0.490543501940805
"Adam Kolarek","10843",0.213935279166667,0.811,"REZ1",0.263791959515002
"Adam Laskey","sa3014851",-0.04100425,NA,NA,NA
"Adam Leverett","sa1169991",0.08118554855,NA,NA,NA
"Adam Macko","sa3011555",0.115483214285714,NA,NA,NA
"Adam Maier","sa3020883",-9.99029e-05,NA,NA,NA
"Adam Mazur","31900",0.427329176470588,0.753,"REZ1",0.567502226388563
"Adam McKillican","sa3017687",-0.00645656,NA,NA,NA
"Adam Morgan","12580",-0.000479183,NA,NA,NA
"Adam Oller","20132",0.0238556903818182,0.219,"REZ1",0.108930093067663
"Adam Ottavino","1247",0.193935552941176,0.348,"REZ1",0.557286071670047
"Adam Plutko","15846",-0.00183447,NA,NA,NA
"Adam Scoggins","sa3017845",-0.0179156,NA,NA,NA
"Adam Scott","sa3006826",-9.99029e-05,NA,NA,NA
"Adam Seminaris","sa3015010",0.27125204855,NA,NA,NA
"Adam Serwinowski","sa3020626",-9.99029e-05,NA,NA,NA
"Adam Shoemaker","sa3017888",-0.0223198,NA,NA,NA
"Adam Smith","sa3017147",-0.0175549,NA,NA,NA
"Adam Stauffer","sa3005146",-0.00571766,NA,NA,NA
"Adam Stone","sa3020944",-0.0236776,NA,NA,NA
"Adam Tulloch","sa3020588",-0.0143285,NA,NA,NA
"Adam Wainwright","2233",0.430500069357143,1.507,"REZ1",0.285666933879989
"Adam Wolf","sa3007587",-0.13788477,NA,NA,NA
"Adan Moreno","sa3021537",-0.0233079,NA,NA,NA
"Adbert Alzolay","17859",0.210822454166667,0.468,"REZ1",0.450475329415954
"Adel Dilone","sa3018798",-0.0164124,NA,NA,NA
"Adenys Bautista","sa3007905",-0.0236927,NA,NA,NA
"Adilson Peralta","sa3018816",-0.0289935,NA,NA,NA
"Adisyn Coffey","sa3014738",-0.007847315,NA,NA,NA
"Adolfo Oviedo","sa3018882",-9.99029e-05,NA,NA,NA
"Adolfo Ramirez","sa3003015",-9.99029e-05,NA,NA,NA
"Adonis Medina","19903",-0.082902045,NA,NA,NA
"Adonis Villavicencio","sa3019070",-0.0203508,NA,NA,NA
"Adonys Perez","sa3020114",-9.99029e-05,NA,NA,NA
"Adrian Acosta","sa3018883",-9.99029e-05,NA,NA,NA
"Adrian Alcantara","sa974592",-9.99029e-05,NA,NA,NA
"Adrian Bohorquez","sa3021501",-9.99029e-05,NA,NA,NA
"Adrian Chaidez","sa3017417",-9.99029e-05,NA,NA,NA
"Adrian De Horta","sa737857",-0.00733159,NA,NA,NA
"Adrian Del Moral","sa3006816",-0.0245487,NA,NA,NA
"Adrian Delgado","sa3019379",-0.0393237,NA,NA,NA
"Adrian Florencio","sa3010569",-9.99029e-05,NA,NA,NA
"Adrian Heredia","sa3024791",-9.99029e-05,NA,NA,NA
"Adrian Hernandez","sa3006177",-0.201398045,NA,NA,NA
"Adrian Herrera","sa3023627",-9.99029e-05,NA,NA,NA
"Adrian Houser","12718",0.273132305454545,0.278,"REZ1",0.982490307390451
"Adrian Martinez","21023",0.107433679166667,0.218,"REZ1",0.49281504204893
"Adrian Martinez","sa3016049",-9.99029e-05,NA,NA,NA
"Adrian Morejon","20039",0.528322941176471,0.439,"REZ1",1.2034691142972
"Adrian Ogando","sa3017617",-0.0327182,NA,NA,NA
"Adrian Quintana","sa3016465",-0.0178562,NA,NA,NA
"Adrian Rodriguez","sa3015385",-0.0185716,NA,NA,NA
"Adrian Sampson","13339",0.04995254855,NA,NA,NA
"Adrian Santana","sa3018876",-0.0361348,NA,NA,NA
"Aidan Anderson","sa3011250",-0.099403955,NA,NA,NA
"Aidan Curry","sa3015334",-9.99029e-05,NA,NA,NA
"Aidan Maldonado","sa3020829",-0.014323,NA,NA,NA
"Al Pesto","sa3021977",-0.00101992,NA,NA,NA
"Alain Pena","sa3019050",-9.99029e-05,NA,NA,NA
"Alan Busenitz","15239",0.0163649916666667,0.421,"REZ1",0.0388717141726049
"Alan Carter","sa3020817",-0.00306039,NA,NA,NA
"Alan Mundo","sa3005688",-0.0158484,NA,NA,NA
"Alan Perdomo","sa3006399",-0.0150315,NA,NA,NA
"Alan Rangel","sa877578",0.0704693771428571,NA,NA,NA
"Alan Strong","sa3006768",-0.00417521,NA,NA,NA
"Alaska Abney","sa3017308",-0.24758381,NA,NA,NA
"Albert Abreu","17485",0.186133838666667,1.02,"REZ1",0.182484155555556
"Albert Breton","sa3009995",-0.0349723,NA,NA,NA
"Albert Polanco","sa3019660",-9.99029e-05,NA,NA,NA
"Albert Rivas","sa3018286",-0.0201708,NA,NA,NA
"Albert Suarez","6175",0.248612750588235,0.261,"REZ1",0.952539274284426
"Alberto Baldonado","11812",-0.00213192,NA,NA,NA
"Alberto Guerrero","sa872514",-0.00391392,NA,NA,NA
"Alberto Mota","sa3016712",-0.0156703,NA,NA,NA
"Alberto Pacheco","sa3015421",-9.99029e-05,NA,NA,NA
"Albertus Barber","sa1172728",-0.00393256,NA,NA,NA
"Aldrin Batista","sa3019119",-9.99029e-05,NA,NA,NA
"Aldry Acosta","sa3002794",-0.00603658,NA,NA,NA
"Alec Baker","sa3022794",-0.00879939,NA,NA,NA
"Alec Barger","sa3010566",-0.160575905,NA,NA,NA
"Alec Bettinger","20312",-0.0119579,NA,NA,NA
"Alec Gamboa","sa3011249",-0.02080570145,NA,NA,NA
"Alec Kisena","sa875686",-9.99029e-05,NA,NA,NA
"Alec Marsh","27451",1.15331894117647,1.746,"REZ1",0.660549221750556
"Alec Mills","13834",-0.111081814285714,-0.376,"REZ1",0.295430357142857
"Alejandro Gomez","sa3017618",-0.0211566,NA,NA,NA
"Alejandro Hidalgo","sa3015151",-9.99029e-05,NA,NA,NA
"Alejandro Lugo","sa3009253",-0.0238318,NA,NA,NA
"Alejandro Manzano","sa3019125",-9.99029e-05,NA,NA,NA
"Alejandro Mateo","sa918495",-0.00315688,NA,NA,NA
"Alejandro Melean","sa3006815",-0.05979628,NA,NA,NA
"Alejandro Mendez","sa3011785",-0.0283726,NA,NA,NA
"Alejandro Ramirez","sa3021042",-0.035187,NA,NA,NA
"Alejandro Rosario","sa3023538",-9.99029e-05,NA,NA,NA
"Alejandro Torres","sa3023265",-0.191340465,NA,NA,NA
"Alek Jacob","29628",0.146653085882353,0.543,"REZ1",0.270079347849637
"Alek Manoah","26410",0.190960188235294,-0.024,"REZ1",-7.95667450980392
"Alemao Hernandez","sa3002788",-9.99029e-05,NA,NA,NA
"Alessandro Ercolani","sa3016714",-9.99029e-05,NA,NA,NA
"Alex Amalfi","sa3020489",-0.0120783,NA,NA,NA
"Alex Ayala Jr","sa3017141",-9.99029e-05,NA,NA,NA
"Alex Bustamante","sa3020631",-0.020723,NA,NA,NA
"Alex Claudio","12890",-0.00407028,NA,NA,NA
"Alex Clemmey","sa3023421",-9.99029e-05,NA,NA,NA
"Alex Cobb","6562",1.23378823529412,0.146,"REZ1",8.45060435132957
"Alex Colome","6661",0.109872442857143,0.392,"REZ1",0.280286844023324
"Alex Cook","sa3020879",-9.99029e-05,NA,NA,NA
"Alex Cornwell","sa3017501",0.111090944,NA,NA,NA
"Alex Faedo","19874",0.0677380694117647,0.268,"REZ1",0.252753990342406
"Alex Garbrick","sa3017465",-0.0158575,NA,NA,NA
"Alex Hoppe","sa3020836",-0.175619475,NA,NA,NA
"Alex Lange","19883",0.226626694117647,0.536,"REZ1",0.422810996488148
"Alex Makarewich","sa3023642",-9.99029e-05,NA,NA,NA
"Alex Martinez","sa3015284",-0.0148708,NA,NA,NA
"Alex Mauricio","sa3004337",-0.090359145,NA,NA,NA
"Alex McFarlane","sa3020633",-9.99029e-05,NA,NA,NA
"Alex McKenney","sa3017209",-0.0245475,NA,NA,NA
"Alex Nolan","sa3010267",-0.0154418,NA,NA,NA
"Alex Pham","sa3017550",0.44170604855,NA,NA,NA
"Alex Phillips","sa3008595",-0.00178072,NA,NA,NA
"Alex Powers","sa621533",-0.00100416,NA,NA,NA
"Alex Rao","sa3020595",-0.0182536,NA,NA,NA
"Alex Reyes","15015",-0.000192565,NA,NA,NA
"Alex Santos II","sa3014684",-0.02068510145,NA,NA,NA
"Alex Scherff","sa3005397",-0.00704587,NA,NA,NA
"Alex Segal","sa919036",-0.00405014,NA,NA,NA
"Alex Speas","21859",0.178322032564706,1.035,"REZ1",0.172291818903097
"Alex Troop","sa915638",0.05692104855,NA,NA,NA
"Alex Valdez","sa3005432",-0.0184532,NA,NA,NA
"Alex Valverde","sa3005207",-9.99029e-05,NA,NA,NA
"Alex Vesia","25007",0.5367,0.307,"REZ1",1.74820846905537
"Alex Wells","19845",-0.00698873,NA,NA,NA
"Alex Williams","sa3020314",-9.99029e-05,NA,NA,NA
"Alex Wood","13781",0.438145764705882,0.583,"REZ1",0.751536474624155
"Alex Young","18333",0.232252058823529,1.281,"REZ1",0.181305276208844
"Alexander Agramonte","sa3021034",-0.0315506,NA,NA,NA
"Alexander Alberto","sa3015986",-0.0214057,NA,NA,NA
"Alexander Beltre","sa3015444",-0.0302918,NA,NA,NA
"Alexander Campos","sa3022221",-9.99029e-05,NA,NA,NA
"Alexander Cornielle","sa3011779",-9.99029e-05,NA,NA,NA
"Alexander De Los Santos","sa3023083",-9.99029e-05,NA,NA,NA
"Alexander Fuentes","sa3024072",-9.99029e-05,NA,NA,NA
"Alexander Johnson","sa3015278",-0.0289117,NA,NA,NA
"Alexander Vallecillo","sa3016034",-9.99029e-05,NA,NA,NA
"Alexis Cedano","sa3006641",-0.0230244,NA,NA,NA
"Alexis De La Cruz","sa3022007",-0.0332766,NA,NA,NA
"Alexis Diaz","21132",0.307613882352941,-0.137,"REZ1",-2.24535680549592
"Alexis Liebano","sa3019885",-0.0212282,NA,NA,NA
