"season","playerid","name","team","team_name","G","GS","W","L","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","BB%","K%","GB%","AVG","BABIP","LOB%","FIP","WAR","Source"
2025,"33677","Paul Skenes","PIT","Pirates",30.78,30.78,13.1471,8.6901,0,0,NA,188.104,759.711,147.485,64.8172,58.6161,15.5709,241.336,55.2044,0.4368,7.5295,2.80453,1.07754,11.5469,2.6413,4.37168,0.745,0.072665,0.317668,0.470836,0.211606,0.299756,0.762187,2.67713,5.79057,"Steamer"
2025,"10954","Jacob deGrom","TEX","Rangers",25.92,25.92,11.1933,6.8069,0,0,NA,152.018,602.766,116.366,52.761,48.6611,17.2286,206.011,30.0931,0.302,4.93,2.88092,0.963438,12.1966,1.78162,6.8458,1.02,0.049925,0.341777,0.383545,0.204963,0.28777,0.76589,2.62061,5.12055,"Steamer"
2025,"22267","Tarik Skubal","DET","Tigers",32,32,13.2932,9.4706,0,0,NA,196.234,787.456,160.322,70.0106,63.7595,20.0595,228.405,44.9748,0.3016,7.9903,2.92424,1.04618,10.4755,2.06271,5.07851,0.92,0.057114,0.290054,0.435306,0.218277,0.28859,0.763408,2.97721,4.98089,"Steamer"
2025,"27463","Garrett Crochet","BOS","Red Sox",30.78,30.78,12.4782,8.3206,0,0,NA,170.138,684.385,133.261,62.7475,57.5247,16.6168,220.434,51.6793,0.3928,6.542,3.04295,1.087,11.6605,2.73374,4.26541,0.879,0.075512,0.32209,0.440866,0.212821,0.299768,0.755784,2.87152,4.8025,"Steamer"
2025,"10310","Zack Wheeler","PHI","Phillies",32,32,13.468,9.4229,0,0,NA,198.518,810.278,171.321,79.9871,73.4252,22.8737,212.375,50.9251,0.8184,8.6659,3.3288,1.11953,9.62824,2.30874,4.17035,1.037,0.0628489,0.262102,0.425596,0.228219,0.288003,0.747854,3.4253,4.61254,"Steamer"
2025,"10603","Chris Sale","ATL","Braves",30.78,30.78,13.9453,7.768,0,0,NA,186.772,754.94,152.729,69.5458,63.7735,19.4243,230.075,47.1369,0.5224,8.98,3.07306,1.0701,11.0867,2.27139,4.881,0.936,0.0624379,0.30476,0.42585,0.218551,0.296678,0.754726,2.95615,4.51036,"Steamer"
2025,"14374","Tyler Glasnow","LAD","Dodgers",24.3,24.3,10.5525,6.3896,0,0,NA,143.689,580.091,117.044,56.058,51.4514,16.1091,178.16,40.6673,0.2431,3.5606,3.22268,1.09759,11.1591,2.54721,4.38091,1.009,0.070105,0.307124,0.449349,0.218422,0.295483,0.752104,3.06753,3.69033,"Steamer"
2025,"12768","Sonny Gray","STL","Cardinals",30.78,30.78,12.1437,9.5491,0,0,NA,184.766,764.441,164.476,76.4954,69.9896,19.6878,197.269,51.2749,0.4319,6.8303,3.40922,1.1677,9.60904,2.49762,3.84728,0.959,0.067075,0.258056,0.447403,0.232858,0.295861,0.739981,3.3598,3.6796,"Steamer"
2025,"21846","Cole Ragans","KCR","Royals",30.78,30.78,12.0159,9.5563,0,0,NA,182.633,763.514,156.161,77.2225,71.1388,19.3591,207.071,68.885,0.5505,6.4845,3.50567,1.23224,10.2043,3.3946,3.00604,0.954,0.090221,0.271208,0.407633,0.226931,0.296292,0.746798,3.51491,3.64231,"Steamer"
2025,"18525","Dylan Cease","SDP","Padres",32,32,12.6043,9.7642,0,0,NA,188.994,786.818,154.741,79.1415,73.201,22.3852,224.318,70.4824,1.0111,6.4338,3.48588,1.1917,10.6822,3.35642,3.18261,1.066,0.089579,0.285095,0.379245,0.217975,0.285742,0.753449,3.55338,3.63159,"Steamer"
2025,"19361","Corbin Burnes","ARI","Diamondbacks",30.78,30.78,12.269,9.7212,0,0,NA,189.849,793.019,178.212,84.6752,77.7517,20.0607,192.514,53.5097,0.2498,7.1522,3.68591,1.22056,9.12636,2.53669,3.59774,0.951,0.0674759,0.242761,0.457641,0.24334,0.304264,0.722101,3.47065,3.62317,"Steamer"
2025,"17085","Pablo López","MIN","Twins",32,32,12.0916,10.5514,0,0,NA,193.107,798.291,177.225,84.3597,77.8151,23.7521,202.531,47.951,0.8645,8.6136,3.62668,1.16607,9.43921,2.23482,4.2237,1.107,0.0600671,0.253705,0.431337,0.238936,0.29775,0.733713,3.54663,3.56155,"Steamer"
2025,"17995","Logan Webb","SFG","Giants",32,32,12.4093,10.6951,0,0,NA,201.109,839.004,200.555,85.156,76.5737,16.8261,174.691,45.1175,0.8449,6.431,3.42681,1.22159,7.81772,2.01909,3.87191,0.753,0.0537751,0.208212,0.558,0.254687,0.308301,0.72267,3.28584,3.55397,"Steamer"
2025,"17295","Framber Valdez","HOU","Astros",29.16,29.16,12.1415,8.9461,0,0,NA,184.592,766.58,172.769,77.8566,70.2491,15.6083,176.824,59.1048,0.3519,8.5957,3.42507,1.25614,8.62124,2.88172,2.9917,0.761,0.0771019,0.230666,0.568853,0.247209,0.31032,0.733338,3.45014,3.49989,"Steamer"
2025,"22250","Logan Gilbert","SEA","Mariners",32,32,12.1649,10.8113,0,0,NA,198.742,807.893,176.296,82.1488,75.7853,25.174,207.94,43.0462,1.1157,6.1036,3.43193,1.10365,9.41652,1.94934,4.83061,1.14,0.0532821,0.257385,0.406066,0.232352,0.287506,0.745216,3.4625,3.49804,"Steamer"
2025,"13543","Blake Snell","LAD","Dodgers",29.16,29.16,12.0333,8.1857,0,0,NA,169.982,712.116,134.379,71.721,66.2662,20.6623,220.712,73.1379,0.4123,5.0624,3.50858,1.22081,11.686,3.87241,3.01775,1.094,0.102705,0.309938,0.397857,0.211982,0.289693,0.760379,3.52997,3.41405,"Steamer"
