"name","playerid","Bats","Age_2024","G_2024","AB_2024","PA_2024","H_2024","X1B_2024","X2B_2024","X3B_2024","HR_2024","Age_2023","G_2023","AB_2023","PA_2023","H_2023","X1B_2023","X2B_2023","X3B_2023","HR_2023","Age_2022","G_2022","AB_2022","PA_2022","H_2022","X1B_2022","X2B_2022","X3B_2022","HR_2022","Age_2021","G_2021","AB_2021","PA_2021","H_2021","X1B_2021","X2B_2021","X3B_2021","HR_2021","Age_2020","G_2020","AB_2020","PA_2020","H_2020","X1B_2020","X2B_2020","X3B_2020","HR_2020","Age_2019","G_2019","AB_2019","PA_2019","H_2019","X1B_2019","X2B_2019","X3B_2019","HR_2019","Age_2018","G_2018","AB_2018","PA_2018","H_2018","X1B_2018","X2B_2018","X3B_2018","HR_2018","R_2018"
"Bartolo Colon",375,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,4,4,0,0,0,0,0,0
"Victor Martinez",393,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,133,467,508,122.346543971557,88.1905727318804,22.6073850791258,0,10.4626830969542,35.5753196220122
"CC Sabathia",404,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,23,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Barnes",629,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,19,19,21,5.05050505050505,4,0,0,1.06382978723404,2
"Adrian Beltré",639,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,119,433,481,107.272727272727,74.5283018867924,20.1754385964912,0.537634408602151,13.1578947368421,40.495867768595
"Todd Frazier",785,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,13,35,40,2.88461538461538,1.85185185185185,0.934579439252336,0,0,34,45,157,172,38.6622807017544,24.1916991515707,8.99378399378399,1.02040816326531,4.12008281573499,33,133,447,499,119.148936170213,76.9230769230769,19.5876288659794,4.16666666666667,20.3883495145631,32,115,408,472,97.7528089887641,55.4347826086956,25.7142857142857,0,16.9811320754717,66.6666666666667
"Brandon Phillips",791,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,9,23,27,2.88461538461538,1.98019801980198,0,0,0.961538461538462,3.7037037037037
"Ichiro Suzuki",1101,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,5,6,0,0,0,0,0,44,15,44,47,9,8.57142857142857,0,0,0,5.81395348837209
"Marco Estrada",1118,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,28,1,1,0,0,0,0,0,0
"Tommy Hunter",1157,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4,1,1,1.05263157894737,1.03092783505155,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,65,1,1,0,0,0,0,0,0
