"name","Bats","predicted_PA","team"
"Miguel Cabrera","R",159.327,NA
"David Peralta","L",279.55,NA
"Carlos Santana","B",520.2472185,"CLE"
"Nelson Cruz","R",157.37,NA
"Manny Pina","R",102.304,NA
"Roberto Perez","R",147.949,NA
"Tommy Pham","R",356.163,"PIT"
"Charlie Culberson","R",153.325,NA
"Anthony Rizzo","L",313.93,NA
"Eric Hosmer","L",128.832,NA
"Michael Brantley","L",140.827,NA
"Joey Votto","L",198.801,NA
"Mike Moustakas","L",167.865,NA
"Jason Heyward","L",285.08038,"SDP"
"Giancarlo Stanton","R",273.92736,"NYY"
"Josh Donaldson","R",197.015,NA
"Justin Turner","R",438.282,NA
"Robbie Grossman","B",281.83,NA
"Sandy Leon","B",87.5349338,"ATL"
"Aaron Hicks","B",176.139,NA
"Brandon Crawford","L",186.639,NA
"Freddie Freeman","L",624.95845,"LAD"
"Jose Altuve","R",599.052,"HOU"
"Ji Man Choi","L",197.623,NA
"Abraham Almonte","B",129.316,NA
"Kyle Higashioka","R",241.02144,"TEX"
"Avisail Garcia","R",122.904,NA
"Wilmer Flores","R",321.971,"SFG"
"Jean Segura","R",157.682,NA
"Eduardo Escobar","B",169.212,NA
"JD Martinez","R",322.78,NA
"Martin Maldonado","R",150.648,"SDP"
"Salvador Perez","R",514.30032,"KCR"
"Travis d'Arnaud","R",282.54105,"LAA"
"Miguel Rojas","R",289.13626,"LAD"
"Charlie Blackmon","L",375.601,NA
"Matt Carpenter","L",166.009,NA
"Josh Harrison","R",139.721,NA
"Ehire Adrianza","B",85.238,NA
"Donovan Solano","R",232.1289,"SEA"
"Elvis Andrus","R",185.008,NA
"Paul Goldschmidt","R",584.9424,"NYY"
"Starling Marte","R",313.9401,"NYM"
"AJ Pollock","R",181.332,NA
"Evan Longoria","R",180.445,NA
"Yan Gomes","R",224.358,NA
"Christian Vazquez","R",254.05136,"MIN"
"Nolan Arenado","R",605.85218,"STL"
"Andrew McCutchen","R",441.546,"PIT"
"DJ LeMahieu","R",189.78144,"NYY"
"Darin Ruf","R",147.494,NA
"Trayce Thompson","R",174.558,NA
"Christian Bethancourt","R",242.73042,"TOR"
"Chris Owings","R",122.925,NA
"Wil Myers","R",127.166,NA
"Mike Trout","R",315.45855,"LAA"
"Billy Hamilton","B",146.482,NA
"Tucker Barnhart","L",65.78286,"TEX"
"Jose Iglesias","R",301.479,NA
"Randal Grichuk","R",367.0421,"ARI"
"Brandon Belt","L",236.216,NA
"Rafael Ortega","L",120.25741,"NYM"
"Marcell Ozuna","R",590.4525,"ATL"
"Jon Singleton","L",253.35486,"HOU"
"Enrique Hernandez","R",279.8096,"LAD"
"Carlos Perez","R",152.40096,"CHC"
"Rob Brantly","L",132.20813,"MIA"
"Gio Urshela","R",238.53102,"ATH"
"Corey Dickerson","L",142.758,NA
"Jurickson Profar","B",555.1049927,"ATL"
"Adam Duvall","R",276.811,NA
"Kevin Kiermaier","L",188.226,NA
"Kole Calhoun","L",147.949,NA
"Jonathan Schoop","R",160.248,NA
"Whit Merrifield","R",345.307,NA
"Jake Marisnick","R",116.18106,"ATL"
"Jesus Aguilar","R",160.883,NA
"Yasmani Grandal","B",247.926,NA
"Drew Maggi","R",206.479,NA
"Gary Sanchez","R",306.26128,"BAL"
"Mark Canha","R",403.93,NA
"Christian Yelich","L",369.53178,"MIL"
"Henry Ramos","B",193.914,NA
"Michael A Taylor","R",257.897,"CHW"
"Manny Machado","R",635.39232,"SDP"
"Bryce Harper","L",656.1667,"PHI"
"Willson Contreras","R",414.69654,"STL"
"Brandon Drury","R",371.917,"CHW"
"Elias Diaz","R",250.23264,"SDP"
"Nick Castellanos","R",504.578,"PHI"
"JT Realmuto","R",357.426,"PHI"
"Joc Pederson","L",474.41934,"TEX"
"Hanser Alberto","R",128.021,NA
"Nick Martini","L",234.70235,"COL"
"Jon Berti","R",241.3872,"CHC"
"Niko Goodrum","B",103.6593262,"SDP"
"Juniel Querecuto","B",149.3,NA
"Max Kepler","L",395.28572,"PHI"
"Nick Ahmed","R",122.20956,"TEX"
"Eddie Rosario","L",320.9613,"LAD"
"Austin Barnes","R",135.22726,"LAD"
"Ben Gamel","L",139.95333,"HOU"
"Xander Bogaerts","R",362.45568,"SDP"
"Miguel Sano","R",104.982,NA
"Jorge Alfaro","R",163.73296,"MIL"
"Rougned Odor","L",185.937,NA
"Jace Peterson","L",122.618,NA
"Tommy La Stella","L",132.144,NA
"Taylor Motter","R",159.135,NA
"Kevin Pillar","R",233.967,NA
"Curt Casali","R",104.0604,"ATL"
"Kolten Wong","L",193.017,NA
"Marcus Semien","R",634.24647,"TEX"
"CJ Cron","R",225.693,NA
"Eugenio Suarez","R",627.88242,"ARI"
"Trevor Story","R",220.29344,"BOS"
"Brad Miller","L",166.935,NA
"George Springer","R",477.9414,"TOR"
"James McCann","R",210.246,NA
"Anthony Rendon","R",193.0896,"LAA"
"Francisco Lindor","B",571.2214536,"NYM"
"Brandon Nimmo","L",567.88004,"NYM"
"Austin Hedges","R",127.3874,"CLE"
"Michael Perez","L",182.903,NA
"Javier Baez","R",272.25772,"DET"
"Cam Gallagher","R",144.356,NA
"Jackie Bradley Jr","L",145.132,NA
"Teoscar Hernandez","R",616.22204,"LAD"
"Josh Bell","B",566.7345279,"WSN"
"Jorge Polanco","B",357.7593391,"SEA"
"Orlando Arcia","R",422.82366,"ATL"
"Mike Zunino","R",117.792,NA
"Max Muncy","L",413.9454,"LAD"
"Ildemaro Vargas","B",261.9419876,"ARI"
