"name","Bats","predicted_avg","team"
"Miguel Cabrera","R",0.214,NA
"David Peralta","L",0.219,NA
"Carlos Santana","B",0.2203149,"CLE"
"Nelson Cruz","R",0.215,NA
"Manny Pina","R",0.212,NA
"Roberto Perez","R",0.187,NA
"Tommy Pham","R",0.228,"PIT"
"Charlie Culberson","R",0.212,NA
"Anthony Rizzo","L",0.239,NA
"Eric Hosmer","L",0.217,NA
"Michael Brantley","L",0.223,NA
"Joey Votto","L",0.196,NA
"Mike Moustakas","L",0.204,NA
"Jason Heyward","L",0.22278,"SDP"
"Giancarlo Stanton","R",0.18816,"NYY"
"Josh Donaldson","R",0.176,NA
"Justin Turner","R",0.223,NA
"Robbie Grossman","B",0.206,NA
"Sandy Leon","B",0.1965802,"ATL"
"Aaron Hicks","B",0.207,NA
"Brandon Crawford","L",0.193,NA
"Freddie Freeman","L",0.2945,"LAD"
"Jose Altuve","R",0.289,"HOU"
"Ji Man Choi","L",0.199,NA
"Abraham Almonte","B",0.198,NA
"Kyle Higashioka","R",0.20196,"TEX"
"Avisail Garcia","R",0.189,NA
"Wilmer Flores","R",0.238,"SFG"
"Jean Segura","R",0.232,NA
"Eduardo Escobar","B",0.234,NA
"JD Martinez","R",0.195,NA
"Martin Maldonado","R",0.16032,"SDP"
"Salvador Perez","R",0.24624,"KCR"
"Travis d'Arnaud","R",0.2178,"LAA"
"Miguel Rojas","R",0.25284,"LAD"
"Charlie Blackmon","L",0.213,NA
"Matt Carpenter","L",0.194,NA
"Josh Harrison","R",0.195,NA
"Ehire Adrianza","B",0.168,NA
"Donovan Solano","R",0.1989,"SEA"
"Elvis Andrus","R",0.242,NA
"Paul Goldschmidt","R",0.22464,"NYY"
"Starling Marte","R",0.25761,"NYM"
"AJ Pollock","R",0.206,NA
"Evan Longoria","R",0.188,NA
"Yan Gomes","R",0.186,NA
"Christian Vazquez","R",0.21412,"MIN"
"Nolan Arenado","R",0.25132,"STL"
"Andrew McCutchen","R",0.197,"PIT"
"DJ LeMahieu","R",0.23808,"NYY"
"Darin Ruf","R",0.225,NA
"Trayce Thompson","R",0.235,NA
"Christian Bethancourt","R",0.2397,"TOR"
"Chris Owings","R",0.192,NA
"Wil Myers","R",0.207,NA
"Mike Trout","R",0.24057,"LAA"
"Billy Hamilton","B",0.214,NA
"Tucker Barnhart","L",0.1887,"TEX"
"Jose Iglesias","R",0.253,NA
"Randal Grichuk","R",0.25252,"ARI"
"Brandon Belt","L",0.228,NA
"Rafael Ortega","L",0.20748,"NYM"
"Marcell Ozuna","R",0.26112,"ATL"
"Jon Singleton","L",0.21384,"HOU"
"Enrique Hernandez","R",0.20286,"LAD"
"Carlos Perez","R",0.20352,"CHC"
"Rob Brantly","L",0.21293,"MIA"
"Gio Urshela","R",NA,"ATH"
"Corey Dickerson","L",0.208,NA
"Jurickson Profar","B",0.2350856,"ATL"
"Adam Duvall","R",0.191,NA
"Kevin Kiermaier","L",0.221,NA
"Kole Calhoun","L",0.183,NA
"Jonathan Schoop","R",0.213,NA
"Whit Merrifield","R",0.236,NA
"Jake Marisnick","R",0.23052,"ATL"
"Jesus Aguilar","R",0.227,NA
"Yasmani Grandal","B",0.235,NA
"Drew Maggi","R",0.224,NA
"Gary Sanchez","R",0.23816,"BAL"
"Mark Canha","R",0.242,NA
"Christian Yelich","L",0.24645,"MIL"
"Henry Ramos","B",0.241,NA
"Michael A Taylor","R",0.191,"CHW"
